term,estimate,std.error,conf.low,conf.high,statistic,p.value
2008,2.1921226879783665e-4,2.7342841595890393e-5,1.656212840349078e-4,2.728032535607655e-4,8.017172173896661,1.0820739649789636e-15
2010,-7.963428559975808e-4,1.6476548591615636e-4,-0.0011192772742884887,-4.7340843770667286e-4,-4.833189739766331,1.3436261373535242e-6
2012,-5.554899151444275e-4,5.494592682536686e-5,-6.631819528193197e-4,-4.477978774695353e-4,-10.10975603177877,5.0008651498041716e-24
2014,-7.473736368565602e-4,1.0817040639087793e-4,-9.593837375757422e-4,-5.353635361373782e-4,-6.9092246372440975,4.873097816188404e-12
2016,-7.483314948545654e-4,6.58633770747751e-5,-8.774213418213056e-4,-6.192416478878252e-4,-11.361875568648417,6.473959476875348e-30
2018,-5.888409615720097e-4,5.079860384073741e-5,-6.884043955647731e-4,-4.892775275792463e-4,-11.591676090510873,4.541572454396265e-31
