metric,value
rows_full_sample,55661
rows_nonhybrid_sample,37207
municipalities_full_sample,5571
municipalities_nonhybrid_sample,3725
hybrid_municipalities_excluded,1846
treated_municipalities_nonhybrid_sample,2480
never_treated_municipalities_nonhybrid_sample,1245
