term,estimate,std.error,statistic,p.value,conf.low,conf.high
fixest::.__event_time_plot__::-18:.__ever_treated__,-0.036294958470690544,0.0061238938892911,-5.9267778192825675,3.274786791932228e-9,-0.04830018007763582,-0.02428973686374527
fixest::.__event_time_plot__::-16:.__ever_treated__,-0.0031640646492229006,0.05945576636382397,-0.053217119931837004,0.9575608246840912,-0.11972056675593994,0.11339243745749412
fixest::.__event_time_plot__::-14:.__ever_treated__,-0.0153892575938209,0.006071648345515659,-2.534609502736922,0.011284439442110532,-0.027292057548409274,-0.0034864576392325264
fixest::.__event_time_plot__::-12:.__ever_treated__,-0.005645361874078081,0.0594285631382875,-0.09499408324817793,0.9243229454617788,-0.12214853504386494,0.11085781129570879
fixest::.__event_time_plot__::-10:.__ever_treated__,-0.018364099959605966,0.006056247974439111,-3.032256941445124,0.0024385026867143346,-0.030236709177557563,-0.006491490741654369
fixest::.__event_time_plot__::-8:.__ever_treated__,0.014878764417471902,0.059278254741895464,0.2509986922229037,0.8018243837447213,-0.10132974564405528,0.1310872744789991
fixest::.__event_time_plot__::-6:.__ever_treated__,-0.020503209208654758,0.005189712280210393,-3.9507410240907515,7.887305532950794e-5,-0.030677070337953864,-0.010329348079355653
fixest::.__event_time_plot__::-4:.__ever_treated__,0.030049551320423216,0.05903743714781614,0.5089914598627658,0.610778382353484,-0.08568686228808911,0.14578596492893553
fixest::.__event_time_plot__::0:.__ever_treated__,0.039333834643901694,0.05930872047649097,0.663204910304767,0.507226786841341,-0.07693440014536398,0.15560206943316737
fixest::.__event_time_plot__::2:.__ever_treated__,0.005123780109254611,0.00411366773835648,1.2455503057477604,0.21298195587291166,-0.0029406138383073635,0.013188174056816587
fixest::.__event_time_plot__::4:.__ever_treated__,0.0511682323825099,0.059099462506386216,0.8657986081849851,0.38663792245278084,-0.06468977513150528,0.1670262398965251
fixest::.__event_time_plot__::6:.__ever_treated__,0.019051000083677737,0.008109921731720456,2.3490978968592606,0.018853723523858716,0.0031523889443596485,0.03494961122299582
fixest::.__event_time_plot__::8:.__ever_treated__,0.06748634557769499,0.0584888720280121,1.1538322288960152,0.24861849065955252,-0.04717466634226025,0.18214735749765024
fixest::.__event_time_plot__::10:.__ever_treated__,0.01717601277486851,0.019066181715631115,0.9008627438385852,0.3677002715569434,-0.020201143138088736,0.054553168687825754
