event_time,cost_variable,n_obs,beta,se,t_stat,p_value,ci_lower,ci_upper,r_squared,within_r_squared
0,cost_proxy_high_ed,1845,-0.021811521148179885,0.029318665979247906,-0.7439465753188885,0.47014261004970426,-0.08515064817904905,0.04152760588268928,0.5392790166908246,0.07914464874461002
0,cost_proxy_low_ed,1845,-0.001612038653313225,0.04058495235686931,-0.03972010707659178,0.968919795234245,-0.08929049764912939,0.08606642034250295,0.5387805782331414,0.07814840646857535
0,compliance_gap,1845,0.21453227381818557,0.09965419205951948,2.1527671780235194,0.050699443146109954,-0.0007575191923235303,0.42982206682869467,0.5433477417123748,0.08727691826263828
2,cost_proxy_high_ed,527,0.07029685393638306,0.02460809853296759,2.856655252830934,0.0244543584447424,0.012107947359743076,0.12848576051302305,0.5632483068438687,0.051159597998978845
2,cost_proxy_low_ed,527,0.06896275858147503,0.03765477492962098,1.8314479029650435,0.10971222812633685,-0.020076635405374715,0.15800215256832478,0.5640879688344813,0.052983758576263584
2,compliance_gap,527,0.09297825983664641,0.09394720602604215,0.9896862692316029,0.35529578951740315,-0.12917158190191663,0.31512810157520943,0.5590015495869947,0.04193354363913315
