municipality_id,year_election,first_regime,bvr_status,event_time,pct_low_ed_with_bvr,pct_high_ed_with_bvr,pct_with_bvr,cost_proxy_low_ed,cost_proxy_high_ed,compliance_gap,dilma_share_2010_runoff,dilma_share_2010_first_round,left_coalition_share_2010_first_round,log_population_2010,log_gdp_per_capita_2010,state,region
1200302,2018,hybrid,hybrid_bvr,2.0,0.366579486816993,0.6692115923963852,0.46102601507415514,0.6334205131830071,0.33078840760361483,0.3026321055793922,0.5733935742971887,0.5284263054713955,0.6331313491356264,10.386284003580617,8.730145533800238,AC,Norte
1200427,2018,hybrid,hybrid_bvr,2.0,0.6444163239481177,0.8264586450096174,0.7218434687755658,0.35558367605188235,0.1735413549903826,0.18204232106149976,0.36530408773678963,0.39826839826839827,0.4671717171717172,9.574219304763417,9.063353490533068,AC,Norte
1200609,2018,hybrid,hybrid_bvr,2.0,0.5535145158486411,0.7593171435441212,0.6204253988113857,0.4464854841513589,0.24068285645587884,0.20580262769548008,0.4664804469273743,0.45243977764051885,0.5190704138357011,10.479819978504239,8.764873914543784,AC,Norte
2900108,2018,hybrid,hybrid_bvr,2.0,0.4929725194042375,0.5399719495091164,0.507309306701404,0.5070274805957625,0.4600280504908836,0.04699943010487895,0.6284433055733504,0.6499775482712169,0.7047597665020207,9.025936648977904,8.332386586965523,BA,Nordeste
2900306,2018,hybrid,hybrid_bvr,2.0,0.19617353812988414,0.38092672413793105,0.257676423056204,0.8038264618701159,0.619073275862069,0.1847531860080469,0.6956460674157303,0.6821173104434907,0.7483547925608012,9.592400371638025,8.65877237016604,BA,Nordeste
2900405,2018,hybrid,hybrid_bvr,2.0,0.22208027254338336,0.4105504587155963,0.26313598134732286,0.7779197274566166,0.5894495412844036,0.18847018617221295,0.7422122492080253,0.7183939229517091,0.8376288659793815,9.663388566822505,8.276445979105056,BA,Nordeste
2900801,2018,hybrid,hybrid_bvr,2.0,0.17798106242978656,0.3395225464190981,0.22069370958259849,0.8220189375702134,0.6604774535809019,0.16154148398931156,0.7750126968004063,0.753655564581641,0.8236190089358245,9.96509992166365,9.040390839144278,BA,Nordeste
2900900,2018,hybrid,hybrid_bvr,2.0,0.23868748346123314,0.3196457326892109,0.2586618876941458,0.7613125165387669,0.6803542673107891,0.08095824922797779,0.6620541205412054,0.5730938878386893,0.7151858853182105,8.757311846936409,8.557369389913829,BA,Nordeste
2901007,2018,hybrid,hybrid_bvr,2.0,0.4828013634955067,0.6626447876447876,0.5529354059764564,0.5171986365044934,0.3373552123552124,0.17984342414928095,0.6232101132346773,0.6190150478796169,0.7388384529287402,10.444386409308262,8.583088103525945,BA,Nordeste
2901106,2018,hybrid,hybrid_bvr,2.0,0.31152204836415365,0.43326732673267326,0.3619378306878307,0.6884779516358464,0.5667326732673268,0.12174527836851962,0.7073715562174236,0.6182683476663605,0.750688820238791,10.134202369346657,8.698455566329097,BA,Nordeste
2901155,2018,hybrid,hybrid_bvr,2.0,0.41986301369863016,0.5631696984799401,0.464305262334819,0.5801369863013699,0.43683030152005986,0.14330668478130998,0.7560718057022175,0.7627027751709344,0.8305402869017294,9.677903525682558,8.238662360195258,BA,Nordeste
2901205,2018,hybrid,hybrid_bvr,2.0,0.5143708116157856,0.6900142944659996,0.5606605624591237,0.4856291883842144,0.3099857055340004,0.17564348285021403,0.6594698232744248,0.6586394796976621,0.7089119353137634,10.147060985361845,8.103862933904724,BA,Nordeste
2901304,2018,hybrid,hybrid_bvr,2.0,0.4328633548557122,0.569205298013245,0.4715860899067006,0.5671366451442879,0.43079470198675496,0.13634194315753284,0.8639896373056994,0.855544747081712,0.9014267185473411,9.543951376316363,8.236667874167646,BA,Nordeste
2901403,2018,hybrid,hybrid_bvr,2.0,0.8435459219119077,0.9354714806990589,0.8818504190844616,0.1564540780880923,0.06452851930094106,0.09192555878715125,0.7830612727702863,0.7826551192312255,0.8225174991102148,9.552013346996567,8.455482568332414,BA,Nordeste
2901502,2018,hybrid,hybrid_bvr,2.0,0.3785621761658031,0.4273310683276708,0.3929339825614313,0.6214378238341969,0.5726689316723292,0.048768892161867694,0.8262163108155408,0.7488307639009181,0.8442750736185692,9.234252192022495,7.921218438132745,BA,Nordeste
2901601,2018,hybrid,hybrid_bvr,2.0,0.3439361126150514,0.4798751950078003,0.3845211161387632,0.6560638873849486,0.5201248049921997,0.13593908239274888,0.7668928887577456,0.7491808162049449,0.8080131069407209,9.745194973541535,8.140060029776608,BA,Nordeste
2901809,2018,hybrid,hybrid_bvr,2.0,0.18454861111111112,0.37891268533772654,0.24194729136163984,0.8154513888888889,0.6210873146622735,0.19436407422661542,0.6611472501478415,0.640521523178808,0.7274420529801324,9.307013259236443,8.111519255331629,BA,Nordeste
2901908,2018,hybrid,hybrid_bvr,2.0,0.14383977341695325,0.31553544494720964,0.18644708015411346,0.8561602265830468,0.6844645550527904,0.1716956715302564,0.6905904944791167,0.683868501529052,0.7298674821610601,9.783069799056989,8.150778502182668,BA,Nordeste
2902104,2018,hybrid,hybrid_bvr,2.0,0.3624063478013467,0.5628699118250996,0.40342273819055247,0.6375936521986534,0.4371300881749004,0.20046356402375293,0.8400521285838402,0.8306486721811058,0.8764475402699173,10.852264835444583,8.3757351686178,BA,Nordeste
2902302,2018,hybrid,hybrid_bvr,2.0,0.24337689862239492,0.39705882352941174,0.2854596384008149,0.756623101377605,0.6029411764705883,0.15368192490701682,0.697030097667929,0.6307501036054703,0.7476170741815168,9.059401196410896,8.393695521279763,BA,Nordeste
2902500,2018,hybrid,hybrid_bvr,2.0,0.5704339176924034,0.6962457337883959,0.607494387843205,0.42956608230759663,0.30375426621160406,0.12581181609599257,0.8122955288985824,0.8057182705718271,0.8582984658298466,9.536040511615484,8.475167102831177,BA,Nordeste
2902708,2018,hybrid,hybrid_bvr,2.0,0.23424166220060189,0.37732374605401614,0.27944139706705473,0.7657583377993982,0.6226762539459838,0.14308208385341425,0.7540935955818234,0.7531885892318178,0.8074676273001655,10.806186330890815,8.173029617376727,BA,Nordeste
2902906,2018,hybrid,hybrid_bvr,2.0,0.8215613382899628,0.940860856086801,0.8566835094166284,0.1784386617100372,0.059139143913198966,0.11929951779683823,0.5601108382139933,0.5674327694277819,0.6694749612455348,10.457027778709655,8.638330629518993,BA,Nordeste
2903003,2018,hybrid,hybrid_bvr,2.0,0.6691126511754314,0.7470730722648365,0.7000811688311688,0.3308873488245686,0.25292692773516345,0.07796042108940515,0.8307075732448866,0.8151852373573742,0.8750528243414566,9.545883605779304,8.221351324464669,BA,Nordeste
2903508,2018,hybrid,hybrid_bvr,2.0,0.3770143438994156,0.49429763560500695,0.4051151238504397,0.6229856561005844,0.505702364394993,0.11728329170559132,0.620302925193664,0.6437340464324784,0.7062112556217334,9.681655640646714,8.227132243579238,BA,Nordeste
2903706,2018,hybrid,hybrid_bvr,2.0,0.26838655986684695,0.3861824623560673,0.2987551867219917,0.7316134401331531,0.6138175376439328,0.11779590248922034,0.8285914505956552,0.8147445255474453,0.8640875912408759,9.642836819135377,8.22739350626773,BA,Nordeste
2903805,2018,hybrid,hybrid_bvr,2.0,0.1495064935064935,0.37346437346437344,0.21076738248986335,0.8504935064935065,0.6265356265356266,0.22395787995787994,0.7214310933270566,0.6710939386621589,0.7272397971504467,9.79762691183662,8.42933557898618,BA,Nordeste
2903904,2018,hybrid,hybrid_bvr,2.0,0.15369073745079598,0.2901907356948229,0.2041035533440014,0.846309262549204,0.7098092643051771,0.13649999824402692,0.7595115077501174,0.7109498148759119,0.8081307965834524,11.058480174640346,8.704796406832635,BA,Nordeste
2903953,2018,hybrid,hybrid_bvr,2.0,0.25743392070484583,0.4417927823050058,0.291981341625944,0.7425660792951542,0.5582072176949942,0.18435886160015996,0.8631729200652528,0.8441252144082333,0.8872212692967409,9.221577003902171,8.02404227921868,BA,Nordeste
2904001,2018,hybrid,hybrid_bvr,2.0,0.2153846153846154,0.3480225988700565,0.2603028560475369,0.7846153846153846,0.6519774011299435,0.1326379834854411,0.7311973018549747,0.7572636998896654,0.7999264435454211,9.524786081697178,8.122751439599517,BA,Nordeste
2904100,2018,hybrid,hybrid_bvr,2.0,0.31128334534967556,0.5034027221777422,0.3708835590903442,0.6887166546503245,0.4965972778222578,0.19211937682806662,0.8605903470283207,0.850335852225021,0.8975650713685979,10.000478137849756,8.135090561631241,BA,Nordeste
2904209,2018,hybrid,hybrid_bvr,2.0,0.27902068383284084,0.3826452599388379,0.30680649804647336,0.7209793161671592,0.6173547400611621,0.10362457610599707,0.8005957595934817,0.8180272108843537,0.8607331821617535,9.3195534569495,8.274288701017033,BA,Nordeste
2904308,2018,hybrid,hybrid_bvr,2.0,0.12199488491048593,0.31281094527363185,0.17742373495066535,0.8780051150895141,0.6871890547263682,0.1908160603631459,0.7526943526368731,0.7287749287749288,0.8254985754985755,9.566755282109055,8.634350535406126,BA,Nordeste
