year,group,treated_bvr_2016,mean_pct_mayor_L,sd_pct_mayor_L,n_municipalities,se_pct_mayor_L,ci_low,ci_high
2000,Never BVR,0,0.05159050158194935,0.12769362925821598,1236,0.003632118382248247,0.04447154955274278,0.05870945361115591
2004,Never BVR,0,0.11246209700702155,0.18279002392771868,1236,0.005199280573793753,0.10227150708238579,0.1226526869316573
2008,Never BVR,0,0.11144490933258562,0.2005475376153868,1236,0.005704375403212225,0.10026433354228965,0.12262548512288159
2012,Never BVR,0,0.1276851239144761,0.21068663943576624,1236,0.005992772078247737,0.11593929064111053,0.13943095718784165
2016,Never BVR,0,0.05283166909463542,0.13899370920900236,1236,0.003953537926422455,0.04508273475884741,0.06058060343042344
2020,Never BVR,0,0.03670149163535091,0.11543291036822713,1236,0.0032833744181319513,0.03026607777581228,0.04313690549488953
2000,Strict BVR in 2016,1,0.043719223057449366,0.11944595710123655,778,0.004282345036016382,0.03532582678685726,0.052112619328041475
2004,Strict BVR in 2016,1,0.07979270372953377,0.16199498144756458,778,0.005807801465172925,0.06840941285779484,0.09117599460127271
2008,Strict BVR in 2016,1,0.09598862432226211,0.19162911362035198,778,0.006870236577139354,0.08252296063106898,0.10945428801345525
2012,Strict BVR in 2016,1,0.10816243939742615,0.20514614243262597,778,0.007354845538720797,0.09374694214153338,0.12257793665331891
2016,Strict BVR in 2016,1,0.07633444455845378,0.17456772329380513,778,0.0062585560988247845,0.06406767460475721,0.08860121451215036
2020,Strict BVR in 2016,1,0.06847166121064936,0.1532322992172252,778,0.005493644086706958,0.057704118800703724,0.079239203620595
2012,Treated counterfactual,2,0.10816243939742615,,778,,,
2016,Treated counterfactual,2,0.03330898457758549,,778,,,
2020,Treated counterfactual,2,0.01717880711830097,,778,,,
