year,state,municipality_id,pct_mayor_R,pct_mayor_C,pct_mayor_L,pct_mayor_IDK,treated_bvr_2016,group,post_2016,treated_x_post
2008,RO,1101302,0.26454808089145687,0.43761177603521806,0.29784014307332507,0.0,0,Never BVR,0,0
2012,RO,1101302,0.0,1.0,0.0,0.0,0,Never BVR,0,0
2016,RO,1101302,0.09021177255294313,0.9097882274470569,0.0,0.0,0,Never BVR,1,0
2020,RO,1101302,0.07408541252104699,0.9046379917342722,0.02127659574468085,0.0,0,Never BVR,1,0
2000,RO,1101435,0.728773020808419,0.0,0.27122697919158095,0.0,0,Never BVR,0,0
2004,RO,1101435,0.5465007045561296,0.2195866604039455,0.23391263503992485,0.0,0,Never BVR,0,0
2008,RO,1101435,0.6785118053899356,0.0,0.3214881946100644,0.0,0,Never BVR,0,0
2012,RO,1101435,0.5597706219673577,0.4402293780326423,0.0,0.0,0,Never BVR,0,0
2016,RO,1101435,0.357057843370626,0.4920257081647227,0.15091644846465127,0.0,0,Never BVR,1,0
2020,RO,1101435,0.608738828202582,0.3912611717974181,0.0,0.0,0,Never BVR,1,0
2000,RO,1101492,0.036555446516192344,0.9634445534838076,0.0,0.0,0,Never BVR,0,0
2004,RO,1101492,0.0,0.7546843470740847,0.24531565292591526,0.0,0,Never BVR,0,0
2008,RO,1101492,0.4296526054590571,0.570347394540943,0.0,0.0,0,Never BVR,0,0
2012,RO,1101492,0.9203302834188797,0.07966971658112029,0.0,0.0,0,Never BVR,0,0
2016,RO,1101492,0.0,0.8288310718287066,0.17116892817129342,0.0,0,Never BVR,1,0
2020,RO,1101492,0.0,1.0,0.0,0.0,0,Never BVR,1,0
2000,RO,1101500,0.5211726384364821,0.2953311617806732,0.18349619978284473,0.0,0,Never BVR,0,0
2004,RO,1101500,0.05808451623429597,0.941915483765704,0.0,0.0,0,Never BVR,0,0
2008,RO,1101500,0.0,1.0,0.0,0.0,0,Never BVR,0,0
2012,RO,1101500,0.0,1.0,0.0,0.0,0,Never BVR,0,0
2016,RO,1101500,0.2886047491920753,0.7113952508079247,0.0,0.0,0,Never BVR,1,0
2020,RO,1101500,0.16284213436549627,0.7998341166712746,0.037323748963229195,0.0,0,Never BVR,1,0
2000,RO,1101559,0.4914875802400223,0.1839240859614848,0.3245883337984929,0.0,0,Never BVR,0,0
2004,RO,1101559,0.0,0.41545613015688554,0.5845438698431145,0.0,0,Never BVR,0,0
2008,RO,1101559,0.3738898756660746,0.0,0.6261101243339254,0.0,0,Never BVR,0,0
2012,RO,1101559,0.5342019543973942,0.0,0.46579804560260585,0.0,0,Never BVR,0,0
2016,RO,1101559,0.37445072190834905,0.0,0.625549278091651,0.0,0,Never BVR,1,0
