year,state,municipality_id,pct_mayor_R,pct_mayor_C,pct_mayor_L,pct_mayor_IDK,treated_bvr_2016,gdp_pc,log_gdp_pc,gdp_split,gdp_median_cutoff,baseline_gdp_year,treat_bvr2016_x_2016
2012,RO,1100015,0.0,1.0,0.0,0.0,0,13670.239727450247,9.522976466319916,above_or_equal_median,12884.130129618063,2012,0
2016,RO,1100015,0.7242058979607308,0.2757941020392692,0.0,0.0,0,13670.239727450247,9.522976466319916,above_or_equal_median,12884.130129618063,2012,0
2012,RO,1100080,0.448649473523577,0.0,0.551350526476423,0.0,0,9341.065830721003,9.142175639350532,below_median,12884.130129618063,2012,0
2016,RO,1100080,0.6373001230012301,0.36269987699877,0.0,0.0,0,9341.065830721003,9.142175639350532,below_median,12884.130129618063,2012,0
2012,RO,1100114,0.16386731051858072,0.34530058086640075,0.4908321086150185,0.0,0,19413.966966096785,9.873748032720131,above_or_equal_median,12884.130129618063,2012,0
2016,RO,1100114,0.2193979447329242,0.7806020552670758,0.0,0.0,0,19413.966966096785,9.873748032720131,above_or_equal_median,12884.130129618063,2012,0
2012,RO,1100122,0.0,1.0,0.0,0.0,1,19634.937167632015,9.885065766988248,above_or_equal_median,12884.130129618063,2012,0
2016,RO,1100122,0.34703688221486223,0.6529631177851378,0.0,0.0,1,19634.937167632015,9.885065766988248,above_or_equal_median,12884.130129618063,2012,1
2012,RO,1100148,0.0,1.0,0.0,0.0,0,10858.2776129908,9.292682981737629,below_median,12884.130129618063,2012,0
2016,RO,1100148,0.7395952653684612,0.26040473463153874,0.0,0.0,0,10858.2776129908,9.292682981737629,below_median,12884.130129618063,2012,0
2012,RO,1100155,0.7541107899350803,0.0,0.24588921006491968,0.0,0,14086.494850861747,9.552971805375618,above_or_equal_median,12884.130129618063,2012,0
2016,RO,1100155,1.0,0.0,0.0,0.0,0,14086.494850861747,9.552971805375618,above_or_equal_median,12884.130129618063,2012,0
2012,RO,1100320,0.0904156064461408,0.3734520780322307,0.5361323155216285,0.0,0,15229.306334655903,9.630976898867447,above_or_equal_median,12884.130129618063,2012,0
2016,RO,1100320,0.6356228172293364,0.0,0.36437718277066355,0.0,0,15229.306334655903,9.630976898867447,above_or_equal_median,12884.130129618063,2012,0
2012,RO,1100346,0.7694713794182045,0.23052862058179543,0.0,0.0,0,11242.80663252865,9.32748379268063,below_median,12884.130129618063,2012,0
2016,RO,1100346,0.3877068557919622,0.6122931442080378,0.0,0.0,0,11242.80663252865,9.32748379268063,below_median,12884.130129618063,2012,0
2012,RO,1101005,0.48210170533108004,0.51789829466892,0.0,0.0,0,11826.195219123507,9.37807228386532,below_median,12884.130129618063,2012,0
2016,RO,1101005,0.17817633255112303,0.8218236674488769,0.0,0.0,0,11826.195219123507,9.37807228386532,below_median,12884.130129618063,2012,0
2012,RO,1101302,0.0,1.0,0.0,0.0,0,11178.504193051514,9.3217479446499,below_median,12884.130129618063,2012,0
2016,RO,1101302,0.09021177255294313,0.9097882274470569,0.0,0.0,0,11178.504193051514,9.3217479446499,below_median,12884.130129618063,2012,0
2012,RO,1101435,0.5597706219673577,0.4402293780326423,0.0,0.0,0,11516.391221891086,9.351526623184474,below_median,12884.130129618063,2012,0
2016,RO,1101435,0.357057843370626,0.4920257081647227,0.15091644846465127,0.0,0,11516.391221891086,9.351526623184474,below_median,12884.130129618063,2012,0
2012,RO,1101492,0.9203302834188797,0.07966971658112029,0.0,0.0,0,13408.812214474634,9.503667397742369,above_or_equal_median,12884.130129618063,2012,0
2016,RO,1101492,0.0,0.8288310718287066,0.17116892817129342,0.0,0,13408.812214474634,9.503667397742369,above_or_equal_median,12884.130129618063,2012,0
2012,RO,1101500,0.0,1.0,0.0,0.0,0,12215.336948102246,9.410447568092579,below_median,12884.130129618063,2012,0
2016,RO,1101500,0.2886047491920753,0.7113952508079247,0.0,0.0,0,12215.336948102246,9.410447568092579,below_median,12884.130129618063,2012,0
2012,RO,1101559,0.5342019543973942,0.0,0.46579804560260585,0.0,0,13243.407283382168,9.491255144070237,above_or_equal_median,12884.130129618063,2012,0
2016,RO,1101559,0.37445072190834905,0.0,0.625549278091651,0.0,0,13243.407283382168,9.491255144070237,above_or_equal_median,12884.130129618063,2012,0
2012,RO,1101609,0.0,0.7704112952731738,0.22958870472682627,0.0,0,11895.602836879432,9.383924101308232,below_median,12884.130129618063,2012,0
2016,RO,1101609,0.0,1.0,0.0,0.0,0,11895.602836879432,9.383924101308232,below_median,12884.130129618063,2012,0
2012,RO,1101708,0.3761467889908257,0.6238532110091743,0.0,0.0,0,10152.991250886735,9.225523645573947,below_median,12884.130129618063,2012,0
2016,RO,1101708,1.0,0.0,0.0,0.0,0,10152.991250886735,9.225523645573947,below_median,12884.130129618063,2012,0
