subgroup,baseline_gdp_year,median_gdp_pc_cutoff,rows,municipalities,treated_municipalities,control_municipalities,min_gdp_pc,max_gdp_pc
full_sample,2012,12884.130129618063,4040,2020,779,1241,2873.6171639289305,215305.00158277937
below_median,2012,12884.130129618063,2020,1010,489,521,2873.6171639289305,12882.29719484458
above_or_equal_median,2012,12884.130129618063,2020,1010,290,720,12885.963064391546,215305.00158277937
