event_time,gamma_N,gamma_L,gamma_H,gamma_U,sum_L_H_U,residual,residual_magnitude
-8,-0.017254761996796,-0.0216385770789151,0.0045647858962156,-0.0001809708140965263,-0.017254761996796025,2.42861286636753e-17,2.42861286636753e-17
-6,-0.0101431744899075,-0.0103445392888448,0.0002936207951910886,-9.225599625370008e-05,-0.010143174489907413,-8.673617379884035e-17,8.673617379884035e-17
-4,-0.004079510824081,-0.0040620412728196,2.8480738147290797e-05,-4.5950289408411846e-05,-0.004079510824080721,-2.7929047963226594e-16,2.7929047963226594e-16
-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,-0.126166455375494,-0.1797817674747271,0.054398149041969,-0.0007828369427360007,-0.12616645537549412,1.1102230246251565e-16,1.1102230246251565e-16
2,-0.0770679152927875,-0.1412389570864771,0.0647421615640152,-0.0005711197703247711,-0.07706791529278667,-8.326672684688674e-16,8.326672684688674e-16
4,-0.0479355853382828,-0.1090985174699722,0.0615348498033076,-0.0003719176716182493,-0.047935585338282856,5.551115123125783e-17,5.551115123125783e-17
6,-0.0038095775145429,-0.0713802454702577,0.0676388687297792,-6.820077406440572e-05,-0.0038095775145429085,8.673617379884035e-18,8.673617379884035e-18
8,0.0350770468835633,-0.0510545555997223,0.086140682959055,-9.080475768246104e-06,0.03507704688356445,-1.1518563880486e-15,1.1518563880486e-15
