region,region_slug,s_L,s_H,s_unknown,n_municipalities,n_voters_baseline
Norte,norte,0.5763414699696794,0.42333167826166984,0.0003268517686508375,282,7367254
Nordeste,nordeste,0.6571357894931394,0.34190840539829986,0.0009558051085606615,1222,28188801
Centro-Oeste,centro_oeste,0.5394093302783055,0.4605334240284708,5.7245693223702574e-05,290,6236277
Sudeste,sudeste,0.48142016457051606,0.5179467948040553,0.0006330406254286788,230,6983754
Sul,sul,0.538151635642058,0.4602575138440904,0.001590850513851602,769,12788128
National,national,0.5908936318101942,0.4082215522153828,0.0008848159744230629,2793,61564214
