region,R_min,R_min_lower,R_min_upper,R_max,R_max_lower,R_max_upper,scenario_B_R,scenario_B_E_L,scenario_C_R,scenario_C_E_L,scenario_C_E_H,D_residual
Norte,0.05769708509292836,0.01930230587106089,0.09609186431479583,0.1430905970901116,0.12868457548137774,0.15749661869884546,0.05769708509292836,0.0914646023906921,0.0964169487245164,0.052714843392043735,0.038719863631588025,-0.006071090393508859
Nordeste,0.08681995867466652,0.07153336264044073,0.10210655470889231,0.1657502133901301,0.15438294879658535,0.17711747798367486,0.08681995867466652,0.11757403887498807,0.1270195108226514,0.07726210886001236,0.04019955214798489,-0.03864378415952449
Centro-Oeste,0.052165347640331115,0.02980326994057025,0.07452742534009198,0.12960927770179415,0.11998933050227654,0.13922922490131176,0.052165347640331115,0.0947786520170647,0.09581408477855285,0.05112448920920544,0.04364873713822174,-0.01733472195560167
Sudeste,0.022251768581856426,0.0,0.0825048766408156,0.1180392862064556,0.09773467276096429,0.1383438996519469,0.022251768581856426,0.128548633900194,0.08883312148690183,0.06188590448754641,0.0665813529050454,-0.03276111627559483
Sul,0.009653905368257477,0.0012763357111924781,0.01803147502532248,0.09813976037828594,0.08935230471204994,0.10692721604452193,0.009653905368257477,0.10897912580701064,0.05981236687309455,0.05864729480388439,0.05015846150483707,-0.020493270796982176
National,0.06862974128327844,0.05130928722753464,0.08595019533902223,0.13486627864235973,0.12894976094270308,0.14078279634201638,0.06862974128327844,0.10894941491952237,0.11310524055468364,0.06437751546539233,0.044475499271405206,-0.04271287756044108
