cohort,baseline_year,treated_n,never_n,treated_population,never_population,treated_log_gdp_pc,never_log_gdp_pc,treated_low_ed,never_low_ed,treated_high_ed,never_high_ed
2008,2006,3,2774,17204.333333333332,37658.83994232156,9.193820778633231,8.77079507649074,0.7251734404148982,0.7668714386883717,0.27480209475329753,0.23111595869756393
2010,2008,57,2774,30126.298245614034,38072.10922855083,8.99523239160743,8.991416439299798,0.7556667428121603,0.7373534704042116,0.24344095482220918,0.26090991232339217
2012,2010,239,2775,42624.167364016736,38258.28658976208,8.925956138061043,9.206038346173983,0.7905993836186838,0.7167345545298199,0.20879785874086315,0.28166727110066375
2014,2012,464,2776,38105.41594827586,38795.11167146974,9.527795861261787,9.43664217571088,0.699378234081801,0.6863808486231537,0.299737264872436,0.3121965547071789
2016,2014,779,2776,28409.60077021823,40462.50360230548,9.49330128213187,9.607175807971434,0.7055951591147518,0.6693281558459384,0.2935512399686448,0.32933916685884934
2018,2016,1251,2776,27663.258193445243,41045.12968299712,9.607865762502962,9.740355147732622,0.6613259319396898,0.6356915070140987,0.3377888072513973,0.36312585656955343
