id_municipio,pc1_2006_2010_score,pc1_2006_2010_score_z,pt_share_mean_2006_2010
1100015,0.5255404437592105,-0.5183831317892662,0.5266923645320152
1100023,0.4702288625017318,-0.8705427633607477,0.4737226007142836
1100031,0.4961084510914605,-0.7057717303187642,0.49601523899840133
1100049,0.45758940096002454,-0.9510161112310495,0.4606929638288994
1100056,0.3478837460463721,-1.6494937561903729,0.34882025057768684
1100064,0.5085254233028108,-0.6267149349827743,0.5088308442378914
1100072,0.4648725611119587,-0.9046454427838437,0.46321770440063625
1100080,0.5611898029046359,-0.2914095957413337,0.5601874253925498
1100098,0.442275905039181,-1.0485145909156541,0.442793770840068
1100106,0.6076232995818627,0.0042247490138495915,0.6094476804947253
1100114,0.3961138632120039,-1.3424206278226716,0.39641720482065557
1100122,0.47922384253615014,-0.8132732226443488,0.48198707088839504
1100130,0.44662312786392344,-1.0208365467607794,0.44602494732253417
1100148,0.4334965537392384,-1.1044112593698103,0.4347356778231155
1100155,0.442507634189403,-1.0470392099861767,0.443606648372872
1100189,0.43094454089256334,-1.1206595003967157,0.43178450344578473
1100205,0.6241002278033139,0.10913060850980202,0.6263598592609855
1100254,0.49795260362605953,-0.6940303180795653,0.49855337107927666
1100262,0.4636755973322937,-0.9122663119412271,0.46694057469919537
1100288,0.5084671099643209,-0.6270862063030199,0.5111427679516307
1100296,0.4812122486106462,-0.8006133721267981,0.4812874259626312
1100304,0.4611923424522014,-0.9280767824392687,0.4636160032719112
1100320,0.4803718618397308,-0.8059639748196672,0.480651910014556
1100338,0.379839377182991,-1.446037571574709,0.37927020446957416
1100346,0.48727958020294837,-0.7619836817510912,0.4871254774502196
1100379,0.49090423226916924,-0.7389061253479728,0.49335378643928535
1100403,0.5349111124470998,-0.45872164394743525,0.5366898098879388
1100452,0.42341555253744,-1.168595316096935,0.4249408502663124
1100502,0.5852905263219259,-0.13796430117038067,0.585561767092593
1100601,0.4399923471021019,-1.0630536242159394,0.43999193714976476
1100700,0.4578568864437038,-0.9493130756778853,0.45805393903658315
1100809,0.6742124353234555,0.42818669290154243,0.6752845798732581
1100908,0.5916993708226536,-0.09716025494959063,0.591774214268034
1100924,0.4965403981545624,-0.703021595263101,0.4979161735314519
1100940,0.40488183603067873,-1.2865964042648645,0.40645106941357
1101005,0.3804237164609322,-1.4423171806519728,0.37946887362016024
1101104,0.6102490008133248,0.020942151721685936,0.6107407196617748
1101203,0.4973815233129833,-0.6976662913798849,0.4986249034079279
1101302,0.4773228132292946,-0.8253767598256928,0.4782709843590968
1101401,0.4469276758971177,-1.018897540123702,0.4489617780986659
1101435,0.5292664526202941,-0.49466025354351223,0.5296570031574229
1101450,0.5221547293297186,-0.539939412029128,0.5217938144723213
1101468,0.4939037831729367,-0.7198084840016981,0.4958169456770203
1101476,0.4360632756630919,-1.088069368096751,0.4358858908326836
1101484,0.4174979436854702,-1.2062717467054354,0.4183298281390002
1101492,0.43485948703102295,-1.0957336899534333,0.43433725506682774
1101500,0.5150250457558222,-0.5853329206492619,0.5143773575247861
1101559,0.4105733099840758,-1.2503597369167225,0.4109644099395747
1101609,0.40594095191886526,-1.2798531896885352,0.4055505578141167
1101708,0.427168624438096,-1.1447001319827117,0.42760660015724156
1101757,0.3830006580153563,-1.4259102226920692,0.38120295586385156
1101807,0.45542909554722194,-0.9647704162239407,0.4551741145920505
1200013,0.34139465998445306,-1.6908086870755221,0.3462058268173864
1200054,0.4563610558089492,-0.9588367803569537,0.4601266364336442
1200104,0.4009325395720954,-1.3117409174789614,0.4069245768523446
1200138,0.3562780856060759,-1.5960483934033256,0.3604247851713803
1200179,0.2948417406016107,-1.987203376320137,0.2998374672053444
1200203,0.3827012301878274,-1.4278166298319044,0.3844928058273881
1200252,0.4239380134616889,-1.165268894352861,0.432084976664802
1200302,0.6344360890608388,0.17493731679174546,0.6368786855059971
1200328,0.5938555522644735,-0.0834322065935343,0.5989778324266304
1200336,0.48411006435371606,-0.782163461615452,0.48739789753071383
1200344,0.4082680306315188,-1.2650370668539506,0.41002326797348776
1200351,0.39207858742812723,-1.3681125570901465,0.39214095297544127
1200385,0.37343422654200903,-1.4868180996053204,0.37933253626657004
1200393,0.491982142485778,-0.7320432504107866,0.493440383689357
1200401,0.39943273259283385,-1.3212899388816657,0.4061376402730105
1200427,0.461877900354415,-0.9237119493830481,0.46658778684028235
1200435,0.4032730241429263,-1.2968394417766897,0.41112614067673425
1200450,0.36274257629776,-1.554890057146704,0.36780772756859725
1200500,0.40289910174611765,-1.2992201434399362,0.40710271165342893
1200609,0.5056529973666739,-0.6450031928193657,0.5073059640232646
1200708,0.420593293254407,-1.1865641712031652,0.4240087637586394
1200807,0.29060074444641915,-2.0142050929508,0.2956158762694911
1300029,0.9021755701751142,1.8795900293481118,0.9002093017685631
1300060,0.8665489932135793,1.6527615436730476,0.8665537755933528
1300086,0.8149075994348375,1.3239693848970664,0.8137945748247486
1300102,0.8277850148051626,1.4059577451881304,0.8275923178454385
1300144,0.7081104275112824,0.6440095670354112,0.7063065515993062
1300201,0.6893504492378483,0.5245679078590466,0.6925492228296407
1300300,0.8944784573172435,1.8305837929222584,0.8934443977346511
1300409,0.7792012709595557,1.0966331346081568,0.7799722445057657
1300508,0.9081846723026671,1.9178489824137201,0.9064091198293146
1300607,0.9095642299371173,1.9266323962528233,0.9091279446169482
1300631,0.7759758448372225,1.0760973833409064,0.7743831408626173
1300680,0.8943825681970423,1.8299732828541297,0.8927977673582549
1300706,0.5764862725462987,-0.19401951954234653,0.5784261949141514
1300805,0.917585601127347,1.9777031315098712,0.9168290777634882
1300839,0.9247463132430777,2.0232941936913416,0.9238110301693752
1300904,0.7528294616155111,0.9287282139507599,0.7566475069768617
1301001,0.8172670264191957,1.3389914637934106,0.8171960467149075
1301100,0.9173305328794021,1.9760791544298508,0.9160370531398203
1301159,0.9171664341038945,1.9750343648394917,0.9159639868138505
1301209,0.8805803982106781,1.742097163842838,0.8804857320198722
1301308,0.8387982763491363,1.4760773483445084,0.8385755783642344
1301407,0.9025771910283433,1.8821470824731392,0.9016228774546569
1301506,0.7003983834997668,0.5949082664395042,0.6975633028577828
1301605,0.8041254836714294,1.255321448452663,0.7996400441862824
1301654,0.619266151863023,0.07835285160213426,0.6186585250071206
1301704,0.7880902879875138,1.1532280264993573,0.7864020882727414
1301803,0.6440480881918358,0.23613531539677773,0.6431822040450299
1301852,0.920005538375864,1.9931104691865285,0.9193211155507321
1301902,0.8514598156030752,1.5566912613338801,0.8518508893801
1301951,0.8509200389484635,1.55325459321669,0.8505455120003244
1302009,0.8661492921311378,1.6502167134090908,0.8659126706034013
1302108,0.8488645686649844,1.540167756042997,0.8473083673932031
1302207,0.5813152953487396,-0.16327393512230373,0.5848403791854195
1302306,0.745381541326548,0.881308545134469,0.7411935829559566
1302405,0.8648703808684925,1.6420740982672597,0.8659587493071332
1302504,0.8737974170813161,1.6989110519804245,0.8741631638358817
1302553,0.9466338659011713,2.162648598408048,0.9458860192508816
1302603,0.8313803566087954,1.428848688027876,0.8322520669463469
1302702,0.764761633602498,1.0046983669504401,0.7654410105645022
1302801,0.852999539442836,1.5664944267434515,0.8535950618969415
1302900,0.9145661072460107,1.9584785165448102,0.9131860037919335
1303007,0.8244659709080856,1.3848259451312268,0.8233686617536962
1303106,0.8892847441101639,1.7975162853965032,0.8876233035537215
1303205,0.8368875995583852,1.4639123872389694,0.8362149821781012
1303304,0.8758666314583793,1.712085395510342,0.8748768860732241
1303403,0.8487320397777083,1.5393239666763818,0.848776236931303
1303502,0.7934877956161794,1.18759305918694,0.7935109200059427
1303536,0.8746151968511751,1.7041177196603718,0.874484855148052
1303569,0.8633673146335616,1.6325043257261938,0.8632954471603171
1303601,0.6605516802506107,0.3412109391069278,0.6620308521411439
1303700,0.7167636632281618,0.6991032785634174,0.7168145944705694
1303809,0.8403830249416165,1.4861671788605324,0.8398781069126386
