"test","beta_str","se_str","beta_hyb","se_hyb","diff","se_diff","t_diff","p_diff","ci_lower_diff","ci_upper_diff","n_clusters"
"test1",-0.0107120603028759,0.00637005718432264,-0.0241384154833033,0.0422806086617926,0.0134263551804273,0.0409786344457103,0.32764281587311,0.746022729557266,-0.0668917683331648,0.0937444786940195,25
"test2",0.00294198996201711,0.00542254789678252,0.0038878412911186,0.00498150493134976,-0.00094585132910149,0.00381729445043189,-0.247780552792954,0.806328019810682,-0.008427748451948,0.00653604579374502,26
"test2_left_coalition",-0.00501831248642959,0.00647299370705696,0.00174779528237885,0.00669241868067209,-0.00676610776880843,0.00331741966386015,-2.03956944082721,0.0520945448865225,-0.0132682503099743,-0.000263965227642539,26
