test,specification,outcome,regressor,n_obs,beta,se,t_stat,p_value,ci_lower,ci_upper,r_squared,within_r_squared,n_clusters,run_name
test2,baseline_left_heterogeneity,delta_pt_2014_2018,bvr_by_2018,5564,0.005111042375437589,0.0053835756640134855,0.9493769001153554,0.3515170550425256,-0.005976639256262619,0.016198724007137795,0.4640506836780036,0.08384729450959771,26,test2_heterogeneity
test2,baseline_left_heterogeneity,delta_pt_2014_2018,bvr_by_2018_x_pc1,5564,0.0034529091854075353,0.0065996687186919475,0.5231943196827463,0.6054458545380427,-0.010139362976138488,0.01704518134695356,0.4640506836780036,0.08384729450959771,26,test2_heterogeneity
test2,baseline_left_heterogeneity,delta_pt_2014_2018,pc1_2006_2010_score_z,5564,-0.014049017518110917,0.0060984478778684835,-2.303703794713959,0.029833080700973885,-0.026609006034537593,-0.0014890290016842406,0.4640506836780036,0.08384729450959771,26,test2_heterogeneity
test2,baseline_left_heterogeneity,delta_pt_2014_2018,log_population_2010,5564,-0.011747627890912604,0.0029159673209010364,-4.028724124138187,0.000460195108141307,-0.017753175006877037,-0.005742080774948173,0.4640506836780036,0.08384729450959771,26,test2_heterogeneity
test2,baseline_left_heterogeneity,delta_pt_2014_2018,log_gdp_per_capita_2010,5564,-0.02083526678176346,0.004681095394229453,-4.450938301203562,0.00015465489955951756,-0.030476163215294914,-0.011194370348232006,0.4640506836780036,0.08384729450959771,26,test2_heterogeneity
test2,pooled,delta_pt_2014_2018,bvr_by_2018,5564,0.003260262420397419,0.005006035318504983,0.6512663640917087,0.5208166679594373,-0.007049860314508226,0.013570385155303063,0.4575107799560403,0.07266797156607563,26,test2_pooled
test2,pooled,delta_pt_2014_2018,log_population_2010,5564,-0.011551304422684344,0.0029835825589664493,-3.8716221838640394,0.0006884449943750004,-0.017696107728198088,-0.005406501117170602,0.4575107799560403,0.07266797156607563,26,test2_pooled
test2,pooled,delta_pt_2014_2018,log_gdp_per_capita_2010,5564,-0.018584092481987915,0.0047233993031390396,-3.934474155008967,0.000586139456711168,-0.028312115446850826,-0.008856069517125002,0.4575107799560403,0.07266797156607563,26,test2_pooled
test2_left_coalition,pooled,delta_left_2014_2018,bvr_by_2018,5564,-0.0027415638188682903,0.006847857023782848,-0.4003535426260716,0.6922968115907632,-0.01684498936309152,0.01136186172535494,0.5502860347666589,0.18636905356355415,26,test2_pooled_left_coalition
test2_left_coalition,pooled,delta_left_2014_2018,log_population_2010,5564,-0.023216211199552708,0.0015906817963388892,-14.595132259001835,9.715965283336671e-14,-0.02649228168427552,-0.019940140714829895,0.5502860347666589,0.18636905356355415,26,test2_pooled_left_coalition
test2_left_coalition,pooled,delta_left_2014_2018,log_gdp_per_capita_2010,5564,-0.03210884624263674,0.007302373525640304,-4.397042431463583,0.00017782626994514297,-0.04714836604529797,-0.017069326439975514,0.5502860347666589,0.18636905356355415,26,test2_pooled_left_coalition
