event_time,term,estimate,std.error,statistic,p.value,conf.low,conf.high
-8,fixest::.__event_time_plot__::-8:.__ever_treated__,-0.1770339628663828,0.1349982291388856,-1.3113798899113782,0.21644216394239882,-0.4741630618397206,0.12009513610695505
-6,fixest::.__event_time_plot__::-6:.__ever_treated__,0.0014639574993154172,0.07207659713583678,0.02031113506311096,0.9841589189405722,-0.15717556318656487,0.16010347818519569
-4,fixest::.__event_time_plot__::-4:.__ever_treated__,-0.03298980725713955,0.027558531773401198,-1.1970814529742286,0.2564362589087009,-0.0936457267243095,0.027666112210030402
-2,(reference period),0,NA,NA,NA,NA,NA
0,fixest::.__event_time_plot__::0:.__ever_treated__,0.01293366449654218,0.05762525688558505,0.22444437032570583,0.8265261199413628,-0.11389867075509905,0.1397659997481834
2,fixest::.__event_time_plot__::2:.__ever_treated__,0.021603742880019955,0.07582784792053915,0.2849051301397708,0.7810093219247796,-0.14529222511477236,0.18849971087481227
4,fixest::.__event_time_plot__::4:.__ever_treated__,0.0759879077700455,0.08395399851619868,0.9051136230918633,0.38480094723328806,-0.10879359709446325,0.2607694126345543
6,fixest::.__event_time_plot__::6:.__ever_treated__,0.13294242893033584,0.09622196245014374,1.381622506392118,0.1945038265535945,-0.07884068249732543,0.3447255403579971
8,fixest::.__event_time_plot__::8:.__ever_treated__,0.17267409201773995,0.11130897675412815,1.5513042797901377,0.1491065660642919,-0.0723153140030813,0.4176634980385612
