municipality_id,state,pct_votes_pt_2018_runoff,pct_votes_pt_2014_runoff,total_valid_votes_2018_runoff,exit_rate_2018,log_gdp_pc,low_ed_share_2008,low_ed_year_used,low_ed_share_2008_exact,low_ed_voters_2008,total_voters_2008,exit_rate_2018_x_low_ed_share_2008
1100015,RO,0.3062586473508586,0.4470866141732283,12287,0.016678960751555075,9.977592441481772,0.7973943100239298,2008.0,True,14995.0,18805.0,0.013299708400402465
1100023,RO,0.1918721718232403,0.3996546976418909,46187,0.07695703662744852,10.05255953197776,0.710729932165065,2008.0,True,40233.0,56608.0,0.054695669421850904
1100031,RO,0.3413284132841328,0.4651907952228372,3252,0.24337730899275242,10.159572773630869,0.8123654862062218,2008.0,True,4152.0,5111.0,0.1977113259514592
1100049,RO,0.2191171042060234,0.3492994850916058,46053,0.06119462809648295,10.15247652190767,0.6921723834652594,2008.0,True,36989.0,53439.0,0.042357231584812735
1100056,RO,0.1856185512179555,0.3093393587260598,9401,0.13653333466089831,10.261902953756028,0.7618831365425371,2008.0,True,10066.0,13212.0,0.10402244525405711
1100064,RO,0.2604288914968526,0.4548995489954899,9373,0.04909075097905723,9.920874195178254,0.6411678355896265,2008.0,True,7862.0,12262.0,0.03147541055271146
1100072,RO,0.3842305859933301,0.4896275341819896,4198,0.12595427256078612,10.653578742795144,0.8832067510548524,2008.0,True,5233.0,5925.0,0.11124366384988925
1100080,RO,0.4122853602407506,0.616580310880829,5649,0.030316539735862638,9.464207313181932,0.8216025328787141,2008.0,True,6747.0,8212.0,0.024908145835102924
1100098,RO,0.2681417479128962,0.3949694527492525,17129,0.016140154561392908,9.847550494633643,0.8031738160178528,2008.0,True,16196.0,20165.0,0.012963349530191895
1100106,RO,0.3128144738250722,0.4750114860380826,18682,0.04586312454081392,9.814214743082285,0.7129206325414075,2008.0,True,19025.0,26686.0,0.03269676775796241
1100114,RO,0.220614757312005,0.3665542460873849,25506,0.021928320782089176,10.260671195748554,0.7742419235950486,2008.0,True,30461.0,39343.0,0.016977825263534006
1100122,RO,0.2260822407247902,0.4266389177939646,62694,0.07436140382420699,10.207441983397445,0.688620827271908,2008.0,True,53490.0,77677.0,0.05120681141852584
1100130,RO,0.3275130779018804,0.4876152254342509,14146,0.10022988778038595,9.706738557807782,0.8562494122072792,2008.0,True,18209.0,21266.0,0.08582178249755704
1100148,RO,0.293282876064333,0.4056166763173132,9513,0.023118035803674993,9.735132238168633,0.8198872958128255,2008.0,True,11494.0,14019.0,0.01895418385957917
1100155,RO,0.2541813261163734,0.4114188068553048,18475,0.02258530596292875,10.008775555933743,0.758905314434559,2008.0,True,22434.0,29561.0,0.017140108723397163
1100189,RO,0.2216358839050131,0.385710219185881,19329,0.0695235415969697,10.342022225539836,0.6982880412199783,2008.0,True,16805.0,24066.0,0.04854745768042366
1100205,RO,0.3105787743991501,0.4853614207195568,240992,0.023108802736535424,10.375334775439294,0.6018862859353656,2008.0,True,152459.0,253302.0,0.01390887145150632
1100254,RO,0.2771263726037595,0.4695769576957695,10746,0.12577027699484014,9.979132473301458,0.7967624863183363,2008.0,True,13831.0,17359.0,0.10020903860335469
1100262,RO,0.271536523929471,0.4782608695652174,1985,0.2912419529914186,10.222854108912022,0.7787063953488372,2008.0,True,2143.0,2752.0,0.22679197138830307
1100288,RO,0.2403218944980147,0.4532807790401112,28208,0.06017070671264527,10.069396036471572,0.7185581706572018,2008.0,True,24699.0,34373.0,0.043236152942589395
1100296,RO,0.3483457844183564,0.4990161353797717,4685,0.15285979919845755,9.979078087484151,0.784377436963868,2008.0,True,6035.0,7694.0,0.11989977751009764
1100304,RO,0.1868809401918668,0.3694791748578019,44927,0.04234863672976937,10.237183397587117,0.6322777899104608,2008.0,True,28952.0,45790.0,0.02677610243721954
1100320,RO,0.3286675149972732,0.4464285714285714,11002,0.021467826906593507,10.333284635508369,0.8814463544754001,2008.0,True,11896.0,13496.0,0.018922737765325753
1100338,RO,0.2445533292501531,0.523106280594043,11429,0.13668685257062324,9.745977122305161,0.8491805754852353,2008.0,True,11244.0,13241.0,0.11607182012718735
1100346,RO,0.3733103631062814,0.5420560747663551,7546,0.02499639567302407,9.764370694808257,0.8182251908396947,2008.0,True,10290.0,12576.0,0.02045268061986464
1100379,RO,0.3718926085515412,0.4527363184079602,6034,0.14683293101399483,9.954345657360754,0.8463615167505215,2008.0,True,6897.0,8149.0,0.12427374220192935
1100403,RO,0.2836139733601407,0.507641043318396,7958,0.22301712812091298,9.658599337481109,0.8537321624588364,2008.0,True,9333.0,10932.0,0.19039689505602642
1100452,RO,0.2263063779058216,0.4315145461355975,15099,0.11142866850200174,9.768532335546755,0.8325701480904131,2008.0,True,17091.0,20528.0,0.09277218303622914
1100502,RO,0.3876044297649116,0.5586016559337627,5147,0.16543257339302006,9.850490746878995,0.8460536598072415,2008.0,True,6496.0,7678.0,0.1399648341704947
1100601,RO,0.260804208944006,0.446773120425815,2661,0.3814905268544501,10.030504435721268,0.8079539508110937,2008.0,True,3088.0,3822.0,0.3082267783690586
1100700,RO,0.3322808320950965,0.5213645761543763,5384,0.17948244757870585,9.921677170632744,0.8824573378839591,2008.0,True,6464.0,7325.0,0.158385602887202
1100809,RO,0.3881663939367841,0.6123110151187905,11611,0.016868631218426702,9.994128206615107,0.7381509198628001,2008.0,True,9469.0,12828.0,0.012451595650708018
1100908,RO,0.4117647058823529,0.6161665053242982,2125,0.2668652384698794,10.497860722098089,0.8126410835214447,2008.0,True,2880.0,3544.0,0.21686565654437154
1100924,RO,0.3297522473141855,0.4474153297682709,4561,0.07523174473752026,10.224423460970092,0.781889178133135,2008.0,True,4205.0,5378.0,0.05882288706234152
1100940,RO,0.2629629629629629,0.422633744855967,6750,0.40234739629333616,9.59828308769723,0.8547246083880747,2008.0,True,6766.0,7916.0,0.34389622073278325
1101005,RO,0.3206140350877193,0.4795180722891566,4560,0.030470123298628488,10.001046871633026,0.8619252147549268,2008.0,True,6823.0,7916.0,0.026262967567779457
1101104,RO,0.3750611246943765,0.6057416267942584,4090,0.01971359269201124,9.7326361759432,0.7395963564922308,2008.0,True,4141.0,5599.0,0.01458010132838338
1101203,RO,0.3483249196879302,0.4705996884735202,4358,0.23845733655024612,9.957051622629603,0.8433080988430224,2008.0,True,5904.0,7001.0,0.2010930031413588
1101302,RO,0.3785300824416769,0.4664629242399871,5701,0.020416374404056078,9.889623843349867,0.8416060701865318,2008.0,True,7986.0,9489.0,0.01718254462965453
1101401,RO,0.2760249961896052,0.448080640706987,6561,0.2260235221244202,9.803637295604634,0.8476511323226652,2008.0,True,9058.0,10686.0,0.19158909446032174
1101435,RO,0.4462266631606626,0.4987512487512487,3803,0.024492959985916343,9.751844251179635,0.8737430167597765,2008.0,True,4692.0,5370.0,0.02140055274747104
1101450,RO,0.4121102575689109,0.5517086330935251,2213,0.33428935917082264,9.796088452707272,0.8047493403693932,2008.0,True,2135.0,2653.0,0.2690191412852267
1101468,RO,0.3356862745098039,0.4365482233502538,1275,0.30735413054633615,10.773062644243451,0.762076749435666,2008.0,True,1688.0,2215.0,0.23422743673237717
1101476,RO,0.2710040983606557,0.4590417310664605,1952,0.16109815281578577,9.93299019513893,0.8108663729809105,2008.0,True,2761.0,3405.0,0.13062907486766065
1101484,RO,0.2969808995686999,0.3709773539928486,3246,0.1428912262019381,9.738704475336563,0.8244881733253826,2008.0,True,4148.0,5031.0,0.11781212607545997
1101492,RO,0.3279225029454117,0.5537648612945839,7639,0.02924803685181102,9.785909553312225,0.8408740854832499,2008.0,True,8735.0,10388.0,0.024593916239946983
1101500,RO,0.3701512163050625,0.506016466117796,6084,0.020177414035181335,9.893045363809845,0.9058823529411765,2008.0,True,7777.0,8585.0,0.018278363302458387
1101559,RO,0.3549536707056308,0.4700854700854701,2806,0.02847277023550277,9.920562655014539,0.8521175653783847,2008.0,True,3682.0,4321.0,0.024262147652654758
1101609,RO,0.3382692307692307,0.4418396564065855,5200,0.031086736917675575,9.814170905972219,0.8657319391634981,2008.0,True,7286.0,8416.0,0.026912781034004782
1101708,RO,0.339794565937707,0.5050657795251777,6036,0.03298425010725172,9.831409896147594,0.8611082233080362,2008.0,True,8283.0,9619.0,0.02840300900700343
1101757,RO,0.3239297203662459,0.477685579726396,4041,0.1684072170242845,9.582266575738116,0.8815939898742446,2008.0,True,5398.0,6123.0,0.14846679038005678
1101807,RO,0.3498259572352064,0.4979423868312757,4022,0.026557937832323172,9.973299370294555,0.8636431896681184,2008.0,True,5751.0,6659.0,0.022936582140515176
1200013,AC,0.2010827532869296,0.3515749284123449,6465,0.09532344184054127,9.732307427212865,0.8235689481348717,2008.0,True,7352.0,8927.0,0.0785054267292102
1200054,AC,0.4157275231655397,0.4816266536011759,3993,0.03805655400719657,9.418300746869003,0.8920723825937096,2008.0,True,4141.0,4642.0,0.03394920080650603
