metric,value
rows,5570.0
complete_case_rows,5570.0
states_complete_case,27.0
exact_2008_low_ed_share_rows,5563.0
fallback_low_ed_share_rows,7.0
mean_low_ed_share,0.7534234311619253
sd_low_ed_share,0.09621008097020098
min_low_ed_share,0.3411670367628917
max_low_ed_share,0.9708075519593844
