z_score_pca1_trust,treatment_dummy,low_ed,female,white,married,working,age,log_gdp_pc,log_total_pop,municipality_id,year,muni_exit_rate_active,exit_x_low_ed,muni_exit_rate_at_treatment_raw,muni_exit_rate_at_treatment_control
-1.1237571224131984,0,0.0,0.0,0.0,0.0,0.0,35.0,9.873419577522972,14.339365391729295,1302603,2006,0.0,0.0,0.0610116978917483,0.0610116978917483
0.0772650776229594,0,0.0,0.0,0.0,0.0,0.0,40.0,9.873419577522972,14.339365391729295,1302603,2006,0.0,0.0,0.0610116978917483,0.0610116978917483
-1.726187843083471,0,0.0,0.0,0.0,0.0,0.0,32.0,9.873419577522972,14.339365391729295,1302603,2006,0.0,0.0,0.0610116978917483,0.0610116978917483
-0.1432319751477122,0,0.0,0.0,0.0,0.0,1.0,24.0,9.873419577522972,14.339365391729295,1302603,2006,0.0,0.0,0.0610116978917483,0.0610116978917483
1.0762949875784595,0,0.0,0.0,0.0,0.0,0.0,60.0,9.873419577522972,14.339365391729295,1302603,2006,0.0,0.0,0.0610116978917483,0.0610116978917483
1.3635182721439094,0,0.0,0.0,0.0,1.0,0.0,17.0,9.873419577522972,14.339365391729295,1302603,2006,0.0,0.0,0.0610116978917483,0.0610116978917483
0.7964329432440179,0,0.0,1.0,0.0,1.0,0.0,33.0,9.873419577522972,14.339365391729295,1302603,2006,0.0,0.0,0.0610116978917483,0.0610116978917483
0.893230912720044,0,0.0,1.0,0.0,1.0,0.0,18.0,9.873419577522972,14.339365391729295,1302603,2006,0.0,0.0,0.0610116978917483,0.0610116978917483
-0.7835296782591672,0,0.0,1.0,0.0,0.0,1.0,53.0,9.873419577522972,14.339365391729295,1302603,2006,0.0,0.0,0.0610116978917483,0.0610116978917483
0.2288419439801591,0,0.0,1.0,0.0,1.0,0.0,59.0,9.873419577522972,14.339365391729295,1302603,2006,0.0,0.0,0.0610116978917483,0.0610116978917483
0.5243898626770984,0,0.0,1.0,0.0,1.0,0.0,24.0,9.873419577522972,14.339365391729295,1302603,2006,0.0,0.0,0.0610116978917483,0.0610116978917483
-0.0256575592412551,0,1.0,1.0,0.0,0.0,0.0,28.0,9.873419577522972,14.339365391729295,1302603,2006,0.0,0.0,0.0610116978917483,0.0610116978917483
