term,estimate,std.error,statistic,p.value,conf.low,conf.high
fixest::.__event_time_plot__::-8:.__ever_treated__,-0.3790388813476352,0.05505557447943503,-6.884659454225076,2.6404293135555922e-5,-0.5002153837571917,-0.25786237893807873
fixest::.__event_time_plot__::-6:.__ever_treated__,-0.17694860581509061,0.03626085512326263,-4.8798795619569315,4.869761489711109e-4,-0.2567582098336245,-0.0971390017965567
fixest::.__event_time_plot__::-4:.__ever_treated__,-1.97439721171061e-4,0.0774757669505201,-0.002548406152560657,0.9980122977544315,-0.17072045304598402,0.1703255736036419
fixest::.__event_time_plot__::0:.__ever_treated__,0.05514908710224768,0.025779418298034804,2.139268096148305,0.055676060851439065,-0.001591030007521775,0.11188920421201715
fixest::.__event_time_plot__::2:.__ever_treated__,0.09492958934657852,0.03737801235519397,2.5397174265042834,0.027493800290746925,0.012661138839074673,0.1771980398540824
fixest::.__event_time_plot__::4:.__ever_treated__,0.15462496525789127,0.05782956689230262,2.673804656809086,0.02164641391036653,0.027342946713406452,0.2819069838023761
fixest::.__event_time_plot__::6:.__ever_treated__,0.25157641719527035,0.07941154679626293,3.168008020807239,0.008950320648556529,0.07679278115677293,0.4263600532337678
fixest::.__event_time_plot__::8:.__ever_treated__,0.381452519463651,0.08778096391083359,4.34550388226682,0.0011640684466972947,0.18824792055736655,0.5746571183699354
