outcome_type,cost_variable,n_obs,beta,se,t_stat,p_value,ci_lower,ci_upper,r_squared,within_r_squared
pc1,cost_proxy_low_ed,1845,0.008677116956833835,0.03517003461041192,0.24671903377271673,0.8089788377415464,-0.06730312346221165,0.08465735737587932,0.6284296879224829,0.08241677475193188
pc1,cost_proxy_high_ed,1845,-0.007873752838699986,0.024473739756315095,-0.3217225040839244,0.7527774231655613,-0.060746053114670434,0.04499854743727047,0.628417740271811,0.08238727033922344
pc1,compliance_gap,1845,0.17429564188522312,0.10110435017851206,1.7239183237663158,0.10840467024533341,-0.04412702727247261,0.3927183110429189,0.6311520272357536,0.08913952090816812
mean,cost_proxy_low_ed,1845,0.008778955489189215,0.0348697568909103,0.25176417250782945,0.8051596013333809,-0.06655257435641085,0.08411048533478926,0.6318956480320774,0.08341130322476364
mean,cost_proxy_high_ed,1845,-0.00746031372588072,0.02430864316480794,-0.30689963546304183,0.7637803903866006,-0.05997594450027027,0.04505531704850883,0.6318757917215195,0.08336186053352779
mean,compliance_gap,1845,0.17097479204596422,0.09986101553038614,1.712127511801032,0.11060819357526407,-0.04476181590842607,0.38671140000035453,0.6345121748758227,0.08992651804622531
