id_municipio,pc1_score,pt_share_mean_runoff,pt_share_mean_first_round,left_coalition_share_mean_first_round
1100015,0.5002555560360863,0.5001571144124196,0.45857229013162826,0.5091884253768312
1100023,0.44700353922378894,0.4490332996901527,0.3834222208666758,0.46176274377578425
1100031,0.4855694765906824,0.48574042440654663,0.45556337158828986,0.5156351637169736
1100049,0.42271461662644627,0.42356180424980155,0.36390479453471697,0.46224832874420674
1100056,0.33451277707384086,0.33565995329381115,0.3010100792621629,0.362557528980384
1100064,0.4909580917285843,0.49085374582375757,0.4416099843303183,0.5071588672909728
1100072,0.4716220362830341,0.4720209809944207,0.42648552442394005,0.4894330760987431
1100080,0.5775825900760445,0.5789850538886429,0.5271800963316767,0.5747904565832339
1100098,0.4264748600423588,0.4268523314764628,0.3929129655047072,0.4455019609119077
1100106,0.5657353852626518,0.5646356156758444,0.4750658578688632,0.6247944668466965
1100114,0.3857047153107776,0.3864628852428987,0.334516867396115,0.40003199842017284
1100122,0.4616554577295737,0.4635376865235849,0.37933385689166693,0.4988569298594117
1100130,0.4582384339737038,0.4598883733597731,0.4283926319580056,0.46840070244406434
1100148,0.4236048771061086,0.4250293439878481,0.3993712011832318,0.44588321600173764
1100155,0.43166083402197075,0.4328773678670163,0.382431163241101,0.4574579082884728
1100189,0.4157229630579865,0.41642640869248354,0.3527583509799069,0.4570074737397673
1100205,0.5803154528430001,0.5793603797471759,0.47268130531025965,0.6681911789702255
1100254,0.4881334525675215,0.48889456661810765,0.4338020186037121,0.5240849839559137
1100262,0.4667790210813294,0.47071400632120275,0.4189481827174362,0.4751551580069176
1100288,0.4901765627348879,0.49185543831445755,0.4369560360996534,0.5196441130177676
1100296,0.4856782885459765,0.4871969957683447,0.44834410968468186,0.505070202687306
1100304,0.43151930816390327,0.4322370604672081,0.35635515273953783,0.46573634415866255
1100320,0.4688204947330914,0.4692441304858945,0.4436375189838977,0.4844412960320015
1100338,0.42289705242171105,0.4272155631777304,0.39031584728033203,0.4305955084202531
1100346,0.5032118946536738,0.5054356765555981,0.4644405526837649,0.5132017496169073
1100379,0.4778530137052467,0.4798146304288436,0.4632134258469213,0.5141579301096161
1100403,0.525406310615127,0.5270068876980912,0.4907631713300384,0.528468164275184
1100452,0.42459032487004844,0.42713208222274074,0.39574572721159224,0.4277489926368328
1100502,0.5762442611071281,0.5765750633729829,0.5355721651447943,0.5880750153689376
1100601,0.44095602692593155,0.44225233157511484,0.4002811909091712,0.4564023520429752
1100700,0.4763787948146265,0.47915748474251424,0.4440353143810463,0.47416570035731426
1100809,0.6544230032023828,0.6542933916217689,0.5756605399199857,0.6951181251661717
1100908,0.598500829343043,0.5999049779534554,0.5515241683606211,0.606923093728109
1100924,0.48022557740604843,0.48108255894372487,0.412110507876593,0.4714781031641088
1100940,0.40898948681461444,0.41184529456103575,0.37861114091100073,0.41152232219250523
1101005,0.4098687611794397,0.41281860650982566,0.37848091156881053,0.417469427223008
1101104,0.6080987170152761,0.6090743553726027,0.5390485401147344,0.6054506584255926
1101203,0.4879883050431281,0.4892831650964587,0.46325760555421347,0.5049159778619229
1101302,0.47283080404724565,0.47433496431939365,0.44659414303286266,0.4883163494030383
1101401,0.445962525836452,0.44866806563477296,0.4063003038895116,0.4516540443065577
1101435,0.518885518432587,0.5193550850220315,0.49476111100042724,0.5326936580355385
1101450,0.5303990871664598,0.5317654206793893,0.5122630964029455,0.5490450285889922
1101468,0.47498383930686067,0.47606070490143143,0.4257701393925311,0.48986708731646966
