cost_variable,single_year_beta,single_year_se,single_year_ci,pc1_beta,pc1_se,pc1_ci,mean_beta,mean_se,mean_ci,se_reduction_pct
cost_proxy_low_ed,-0.0016120386533132,0.0405849523568693,"[-0.089, 0.086]",0.008677116956833835,0.03517003461041192,"[-0.067, 0.085]",0.008778955489189215,0.0348697568909103,"[-0.067, 0.084]",13.342180862609453
cost_proxy_high_ed,-0.0218115211481798,0.0293186659792479,"[-0.085, 0.042]",-0.007873752838699986,0.024473739756315095,"[-0.061, 0.045]",-0.00746031372588072,0.02430864316480794,"[-0.060, 0.045]",16.525056857505383
compliance_gap,0.2145322738181855,0.0996541920595194,"[-0.001, 0.430]",0.17429564188522312,0.10110435017851206,"[-0.044, 0.393]",0.17097479204596422,0.09986101553038614,"[-0.045, 0.387]",-1.4551902825387764
