year,variable,pc1_loading,standardized_mean,standardized_sd
2006,pt_share_2006_runoff,0.5740139138074554,0.6189967085873055,0.16966896272213092
2010,pt_share_2010_runoff,0.5822765311894406,0.5949227790768468,0.15388388416360135
2014,pt_share_2014_runoff,0.5757274250732195,0.5774526719804502,0.18071983050855214
