outcome,mean,sd,within_state_sd,corr_with_2010_runoff,corr_with_compliance_gap
dilma_share_2010_runoff,0.6219786763767907,0.14535319823580428,0.10281296413396152,1.0,0.27093487004290295
pc1_score,0.6223113405568266,0.15100632325513247,0.09609325491596087,0.96496192303151,0.29483828786577326
pt_share_mean_runoff,0.6220127299821215,0.15096644007693455,0.0956706316797742,0.9616460578185773,0.2958391589143424
