term,estimate,std.error,conf.low,conf.high,statistic,p.value
2008,-0.11376584408817217,0.03218660509089916,-0.17685043085094806,-0.05068125732539627,-3.5345710977247404,4.0843753796156754e-4
2010,-0.22101652657412643,0.010726154929458196,-0.24203940392846127,-0.1999936492197916,-20.605382639694028,2.4557117571776914e-94
2012,-0.203697774392128,0.004060937758873114,-0.2116570661429781,-0.19573848264127788,-50.16027983857918,0
2014,-0.18205380418204767,0.0027717548435370123,-0.18748634384935467,-0.17662126451474067,-65.68178445021869,0
2016,-0.16222588047545017,0.0019875035147239005,-0.1661213157834558,-0.15833044516744454,-81.62294017275548,0
2018,-0.13739102421496557,0.001470275648369916,-0.14027271153311688,-0.13450933689681427,-93.4457592134441,0
