event_time,estimate,std.error,conf.low,conf.high
-8,9.033968805271655e-4,2.2592695620182843e-4,4.605800463715818e-4,0.0013462137146827491
-6,4.220760853636604e-4,2.2783994917267446e-4,-2.4490215014781537e-5,8.686423857421023e-4
-4,4.3078607257433256e-4,2.4322031041280036e-4,-4.592573583475613e-5,9.074978809834213e-4
-2,-3.1270024878782304e-4,2.6696032287501373e-4,-8.3594248162285e-4,2.1054198404720387e-4
0,-0.08700092570041054,8.271722428690203e-4,-0.08862218329643382,-0.08537966810438727
2,-0.07882502191658898,0.0010270910338029096,-0.08083812034284268,-0.07681192349033528
4,-0.0664854260088123,0.0017486062908738773,-0.0699126943389251,-0.0630581576786995
6,-0.07086565889264093,0.001889141105933527,-0.07456837546027065,-0.06716294232501122
8,-0.0622240259965601,0.004769492245567315,-0.07157223079787203,-0.05287582119524816
