group,time,estimate,std.error,conf.low,conf.high
2008,2002,-0.0057145644524949826,0.005142479110646068,-0.015793823509361274,0.0043646946043713105
2008,2004,0.0020951565384944495,0.0020523830468661027,-0.0019275142333631118,0.006117827310352011
2008,2006,-0.003372973676841957,0.0031403073801707935,-0.009527976141976712,0.002782028788292798
2008,2008,-0.0772569192157035,0.03356754319271314,-0.14304930387342127,-0.01146453455798574
2008,2010,-0.07067226884785198,0.03820231474805815,-0.14554880575404594,0.004204268058341995
2008,2012,-0.06349399415765064,0.03698591712277636,-0.1359863917182923,0.008998403402991018
2008,2014,-0.06310309553300503,0.037084573980686625,-0.13578886053515082,0.009582669469140756
2008,2016,-0.050543697004991665,0.0338845487531686,-0.11695741256120212,0.015870018551218786
2008,2018,-0.03524609851125189,0.032595048529433894,-0.09913239362894233,0.028640196606438545
2010,2002,0.004300689982826184,0.001092925805459934,0.0021585554041247132,0.006442824561527655
2010,2004,0.0051618944752549875,0.0025624100960153777,1.3957068706484718e-4,0.010184218263445129
2010,2006,0.0019524541343262872,0.0012253388367862742,-4.492099857748102e-4,0.004354118254427384
2010,2008,4.727881743913656e-4,0.0015765111435275276,-0.0026171736669225883,0.0035627500157053194
2010,2010,-0.11056157828005822,0.004542060780983653,-0.11946401741078617,-0.10165913914933027
2010,2012,-0.09659252758626732,0.004593560799603284,-0.10559590675348976,-0.08758914841904489
2010,2014,-0.09015737601731778,0.004730150548188759,-0.09942847109176775,-0.08088628094286782
2010,2016,-0.07993595926878255,0.004761987971654954,-0.08926945569322627,-0.07060246284433884
2010,2018,-0.06283878015401108,0.00501202345703046,-0.07266234612979078,-0.05301521417823138
2012,2002,0.006314644481219893,6.256056552501e-4,0.005088457396929697,0.00754083156551009
2012,2004,0.009546501950698045,0.001201853810309369,0.007190868482491682,0.011902135418904409
2012,2006,0.003646824157359051,5.626335740758692e-4,0.0025440623521703473,0.004749585962547755
2012,2008,0.00462721753498583,0.0017653560093052589,0.001167119756747523,0.008087315313224137
2012,2010,0.0021703134006584345,0.001836550593586184,-0.001429325762770486,0.005769952564087355
2012,2012,-0.10434686338795396,0.0024898787630669274,-0.10922702576356513,-0.09946670101234278
2012,2014,-0.0991078279646327,0.0020698735109860355,-0.10316478004616533,-0.09505087588310007
2012,2016,-0.08636165091435971,0.0024158890763489723,-0.0910967935040037,-0.08162650832471573
2012,2018,-0.0687998872133055,0.002031245450873101,-0.07278112829701679,-0.06481864612959422
2014,2002,0.0014743264042004812,5.328367360488659e-4,4.299664015447041e-4,0.0025186864068562583
2014,2004,0.0017118844081684132,6.483902674801255e-4,4.4103948390736736e-4,0.002982729332429459
2014,2006,0.0013149787001822785,4.1377164684236006e-4,5.039862723712528e-4,0.0021259711279933043
2014,2008,-0.002082419582051507,9.575334765931056e-4,-0.003959185196173994,-2.0565396792902022e-4
2014,2010,0.0010477130886192175,9.463726241481322e-4,-8.071772547111216e-4,0.0029026034319495565
2014,2012,4.492603655964027e-4,9.032369012820106e-4,-0.001321083960916338,0.0022196046921091435
2014,2014,-0.08521601573413995,0.0023804547682537993,-0.0898817070799174,-0.0805503243883625
2014,2016,-0.07265234196416427,0.0019668961351360092,-0.07650745838903085,-0.0687972255392977
2014,2018,-0.05338705050911948,0.0022025570780034834,-0.05770406238200631,-0.04907003863623265
2016,2002,0.002606115856449864,3.7269598747616695e-4,0.001875631720996577,0.0033365999919031516
2016,2004,0.0036733527643032582,5.52672244382658e-4,0.002590115165313249,0.004756590363293268
2016,2006,0.0014847392748234222,2.7144644178908974e-4,9.527042489168063e-4,0.002016774300730038
2016,2008,-0.0013227853898924787,4.952515583245073e-4,-0.002293478444208513,-3.520923355764444e-4
2016,2010,0.001369934025243933,2.8538760693733243e-4,8.105743156467614e-4,0.0019292937348411045
2016,2012,-9.35933568080469e-4,3.7209941138593e-4,-0.0016652484143968918,-2.066187217640461e-4
2016,2014,8.472570907335766e-4,2.7121636650358514e-4,3.156730123865497e-4,0.0013788411690806035
2016,2016,-0.09419639757127078,0.001374739144303259,-0.09689088629410517,-0.0915019088484364
2016,2018,-0.07501811045115842,0.0014840380024264993,-0.07792682493591435,-0.07210939596640248
2018,2002,0.0018417745824240305,2.983924224563786e-4,0.0012569254344095284,0.0024266237304385327
2018,2004,0.0031684361297597803,4.866844977608568e-4,0.002214534514148501,0.004122337745371059
2018,2006,7.650461482353656e-4,2.2278915617506784e-4,3.283794021322327e-4,0.0012017128943384986
2018,2008,-7.315257919131456e-4,3.999282307912787e-4,-0.001515385124264052,5.2333540437760626e-5
2018,2010,3.3062519700629493e-4,2.2878432024744108e-4,-1.177920706786896e-4,7.790424646912795e-4
2018,2012,-5.455490235481084e-5,3.0651557061553956e-4,-6.553254207612684e-4,5.462156160516467e-4
2018,2014,1.7749129014047883e-4,1.9893636094101677e-4,-2.1242397730391403e-4,5.674065575848717e-4
2018,2016,-0.0018210541538482084,4.156249284633033e-4,-0.002635679013636283,-0.001006429294060134
2018,2018,-0.07881971567803404,0.0010942912988987045,-0.0809645266238755,-0.07667490473219259
