outcome,actual_beta,permutation_mean,permutation_sd,permutation_p_value
log_num_voters,-0.11535407974411246,-1.0173171169670205e-5,0.0012908556929493056,0.001996007984031936
pct_voters_low_ed,-0.08864275113688398,2.583098219103777e-6,7.47389242364952e-4,0.001996007984031936
pct_voters_high_ed,0.08929741148702015,-2.0939831629768284e-6,7.504328515051357e-4,0.001996007984031936
