municipality_id,state,pct_votes_pt_2018_runoff,pct_votes_pt_2014_runoff,total_valid_votes_2018_runoff,exit_rate_2018,log_gdp_pc
1100015,RO,0.3062586473508586,0.4470866141732283,12287,0.016678960751555075,9.977592441481772
1100023,RO,0.1918721718232403,0.3996546976418909,46187,0.07695703662744852,10.05255953197776
1100031,RO,0.3413284132841328,0.4651907952228372,3252,0.24337730899275242,10.159572773630869
1100049,RO,0.2191171042060234,0.3492994850916058,46053,0.06119462809648295,10.15247652190767
1100056,RO,0.1856185512179555,0.3093393587260598,9401,0.13653333466089831,10.261902953756028
1100064,RO,0.2604288914968526,0.4548995489954899,9373,0.04909075097905723,9.920874195178254
1100072,RO,0.3842305859933301,0.4896275341819896,4198,0.12595427256078612,10.653578742795144
1100080,RO,0.4122853602407506,0.616580310880829,5649,0.030316539735862638,9.464207313181932
1100098,RO,0.2681417479128962,0.3949694527492525,17129,0.016140154561392908,9.847550494633643
1100106,RO,0.3128144738250722,0.4750114860380826,18682,0.04586312454081392,9.814214743082285
1100114,RO,0.220614757312005,0.3665542460873849,25506,0.021928320782089176,10.260671195748554
1100122,RO,0.2260822407247902,0.4266389177939646,62694,0.07436140382420699,10.207441983397445
1100130,RO,0.3275130779018804,0.4876152254342509,14146,0.10022988778038595,9.706738557807782
1100148,RO,0.293282876064333,0.4056166763173132,9513,0.023118035803674993,9.735132238168633
1100155,RO,0.2541813261163734,0.4114188068553048,18475,0.02258530596292875,10.008775555933743
1100189,RO,0.2216358839050131,0.385710219185881,19329,0.0695235415969697,10.342022225539836
1100205,RO,0.3105787743991501,0.4853614207195568,240992,0.023108802736535424,10.375334775439294
1100254,RO,0.2771263726037595,0.4695769576957695,10746,0.12577027699484014,9.979132473301458
1100262,RO,0.271536523929471,0.4782608695652174,1985,0.2912419529914186,10.222854108912022
1100288,RO,0.2403218944980147,0.4532807790401112,28208,0.06017070671264527,10.069396036471572
1100296,RO,0.3483457844183564,0.4990161353797717,4685,0.15285979919845755,9.979078087484151
1100304,RO,0.1868809401918668,0.3694791748578019,44927,0.04234863672976937,10.237183397587117
1100320,RO,0.3286675149972732,0.4464285714285714,11002,0.021467826906593507,10.333284635508369
1100338,RO,0.2445533292501531,0.523106280594043,11429,0.13668685257062324,9.745977122305161
1100346,RO,0.3733103631062814,0.5420560747663551,7546,0.02499639567302407,9.764370694808257
1100379,RO,0.3718926085515412,0.4527363184079602,6034,0.14683293101399483,9.954345657360754
1100403,RO,0.2836139733601407,0.507641043318396,7958,0.22301712812091298,9.658599337481109
1100452,RO,0.2263063779058216,0.4315145461355975,15099,0.11142866850200174,9.768532335546755
1100502,RO,0.3876044297649116,0.5586016559337627,5147,0.16543257339302006,9.850490746878995
1100601,RO,0.260804208944006,0.446773120425815,2661,0.3814905268544501,10.030504435721268
1100700,RO,0.3322808320950965,0.5213645761543763,5384,0.17948244757870585,9.921677170632744
1100809,RO,0.3881663939367841,0.6123110151187905,11611,0.016868631218426702,9.994128206615107
1100908,RO,0.4117647058823529,0.6161665053242982,2125,0.2668652384698794,10.497860722098089
1100924,RO,0.3297522473141855,0.4474153297682709,4561,0.07523174473752026,10.224423460970092
1100940,RO,0.2629629629629629,0.422633744855967,6750,0.40234739629333616,9.59828308769723
1101005,RO,0.3206140350877193,0.4795180722891566,4560,0.030470123298628488,10.001046871633026
1101104,RO,0.3750611246943765,0.6057416267942584,4090,0.01971359269201124,9.7326361759432
1101203,RO,0.3483249196879302,0.4705996884735202,4358,0.23845733655024612,9.957051622629603
1101302,RO,0.3785300824416769,0.4664629242399871,5701,0.020416374404056078,9.889623843349867
1101401,RO,0.2760249961896052,0.448080640706987,6561,0.2260235221244202,9.803637295604634
1101435,RO,0.4462266631606626,0.4987512487512487,3803,0.024492959985916343,9.751844251179635
1101450,RO,0.4121102575689109,0.5517086330935251,2213,0.33428935917082264,9.796088452707272
1101468,RO,0.3356862745098039,0.4365482233502538,1275,0.30735413054633615,10.773062644243451
1101476,RO,0.2710040983606557,0.4590417310664605,1952,0.16109815281578577,9.93299019513893
1101484,RO,0.2969808995686999,0.3709773539928486,3246,0.1428912262019381,9.738704475336563
1101492,RO,0.3279225029454117,0.5537648612945839,7639,0.02924803685181102,9.785909553312225
1101500,RO,0.3701512163050625,0.506016466117796,6084,0.020177414035181335,9.893045363809845
1101559,RO,0.3549536707056308,0.4700854700854701,2806,0.02847277023550277,9.920562655014539
1101609,RO,0.3382692307692307,0.4418396564065855,5200,0.031086736917675575,9.814170905972219
1101708,RO,0.339794565937707,0.5050657795251777,6036,0.03298425010725172,9.831409896147594
