term,estimate,std.error,conf.low,conf.high,statistic,p.value,event_time
0,-0.04756727472789173,9.389784528009404e-4,-0.049407672495381576,-0.04572687696040189,-50.65853703671281,0,0
2,-0.05519034950216533,0.0012538541290324037,-0.05764790359506884,-0.05273279540926182,-44.0165631904531,0,2
4,-0.06000365980541596,0.001764877406353528,-0.06346281952186887,-0.05654450008896304,-33.99876931361001,2.3230760151792983e-253,4
6,-0.05842171804451096,0.0022850790233507135,-0.06290047293027837,-0.053942963158743563,-25.56660730220375,3.5892612748979453e-144,6
8,-0.05540947369395067,0.0061502719488926395,-0.06746400671378024,-0.043354940674121094,-9.00927213534471,2.0742857623399724e-19,8
"i(factor_var = zz000event_time, keep = c(2, 4, 6, 8))1",NA,NA,NA,NA,NA,NA,1
