outcome,term,estimate,std.error,conf.low,conf.high,statistic,p.value
log_num_voters_age_16_30,overall,-0.0656636187046177,0.0035233142107044,-0.0725693145575985,-0.0587579228516368,-18.636889808214992,1.613536517721099e-77
log_num_voters_age_31_45,overall,-0.0826513190926171,0.0035319567559695,-0.0895739543343174,-0.0757286838509169,-23.40099972994426,4.1745814807051955e-121
log_num_voters_age_46_60,overall,-0.0442729490281464,0.0032391466032297,-0.0506216763704767,-0.037924221685816,-13.66809053471115,1.5747336260543448e-42
log_num_voters_age_60_plus,overall,-0.1916076778998727,0.0036858124876433,-0.1988318703756537,-0.1843834854240918,-51.985194185063975,0.0
log_num_voters_high_ed_age_16_30,overall,0.0998539975126891,0.0060587119443189,0.087978922101824,0.1117290729235541,16.481060402008307,5.019665051307885e-61
log_num_voters_high_ed_age_31_45,overall,0.2623016833597477,0.006282907382034,0.2499871848909609,0.2746161818285345,41.748456154199886,0.0
log_num_voters_high_ed_age_46_60,overall,0.2246276711530112,0.0055558942735194,0.2137381183769131,0.2355172239291093,40.43051578998438,0.0
log_num_voters_high_ed_age_60_plus,overall,0.0744393075147581,0.0060790102329695,0.0625244474581376,0.0863541675713785,12.245300577228106,1.7801633831497363e-34
log_num_voters_low_ed_age_16_30,overall,-0.2619017721436852,0.00538972602054,-0.2724656351439438,-0.2513379091434267,-48.59278025368758,0.0
log_num_voters_low_ed_age_31_45,overall,-0.2715772878345946,0.0045786984217176,-0.2805515367411613,-0.262603038928028,-59.31320712158036,0.0
log_num_voters_low_ed_age_46_60,overall,-0.1177908460965629,0.0031701090570197,-0.1240042598483217,-0.1115774323448041,-37.15671731725773,3.415139218179687e-302
log_num_voters_low_ed_age_60_plus,overall,-0.2161015456298515,0.0036850440104716,-0.2233242318903759,-0.2088788593693271,-58.6428669551204,0.0
