outcome,event_time,estimate,std.error,conf.low,conf.high,statistic,p.value
log_num_voters_age_16_30,-8,0.0029925383849326,0.0018722586361911,-0.0006770885420020927,0.0066621653118673,1.598357367452434,0.109963466867161
log_num_voters_age_16_30,-6,0.0010232733989613,0.001764457905593,-0.0024350640960009,0.0044816108939236,0.5799364188387652,0.5619574951724375
log_num_voters_age_16_30,-4,0.0048937290285694,0.0033732764318222,-0.001717892777802,0.011505350834941,1.4507346573805515,0.1468537609273689
log_num_voters_age_16_30,-2,-0.00010621922353338034,0.0032125422350841,-0.0064028020042982,0.0061903635572315,-0.0330639150431585,0.973623618630406
log_num_voters_age_16_30,0,-0.0981640413873613,0.0031595533169044,-0.1043567658884941,-0.0919713168862286,-31.068961825128078,6.326905845788105e-212
log_num_voters_age_16_30,2,-0.0492780908275725,0.0027538590075456,-0.054675654482362,-0.043880527172783,-17.89419527018231,1.3087371725784029e-71
log_num_voters_age_16_30,4,-0.0187609984315956,0.0111083943458695,-0.0405334513494999,0.0030114544863085,-1.6889028105643082,0.0912380565839491
log_num_voters_age_16_30,6,0.01909032825767,0.007162528248362,0.0050517728908803,0.0331288836244597,2.6653058243833865,0.0076918337506851
log_num_voters_age_16_30,8,0.0192655604726959,0.0187712138555539,-0.0175260186841899,0.0560571396295817,1.026335356943134,0.3047335368119951
log_num_voters_age_31_45,-8,-0.0003235215528809308,0.0014972076193776,-0.0032580484868611,0.0026110053810993,-0.2160832931209671,0.8289228222495244
log_num_voters_age_31_45,-6,-0.0005889952773569854,0.001612401719674,-0.0037493026479181,0.0025713120932041,-0.3652906531729922,0.7148944547516436
log_num_voters_age_31_45,-4,0.0004648051276835197,0.0035520796759621,-0.0064972710372023,0.0074268812925693,0.1308543642275184,0.8958905162446115
log_num_voters_age_31_45,-2,0.0020434244538517,0.0032228479694664,-0.0042733575663026,0.008360206474006,0.6340430802852881,0.5260527076972452
log_num_voters_age_31_45,0,-0.1115718185925242,0.0031689494975056,-0.1177829596076353,-0.1053606775774131,-35.20782476348833,1.5177562773384135e-271
log_num_voters_age_31_45,2,-0.0683507354172471,0.0026994739494396,-0.0736417043581489,-0.0630597664763454,-25.32002038079861,1.922913609624548e-141
log_num_voters_age_31_45,4,-0.0441784145798771,0.0118671365153468,-0.0674380021499569,-0.0209188270097973,-3.7227527064127695,0.00019706251148214745
log_num_voters_age_31_45,6,-0.0034618458232602,0.0069872673712667,-0.0171568898709429,0.0102331982244225,-0.4954506016896034,0.6202820833050743
log_num_voters_age_31_45,8,0.0244270248554698,0.01907916234147,-0.0129681333338113,0.061822183044751,1.2802986010751554,0.2004401395135258
log_num_voters_age_46_60,-8,-0.0007970765106811347,0.0011874021617273,-0.0031243847476667,0.0015302317263044,-0.6712776314316433,0.5020436817325031
log_num_voters_age_46_60,-6,0.0015776504193712,0.0012448223924088,-0.000862201469750137,0.0040175023084926,1.2673698906703654,0.2050230606246352
log_num_voters_age_46_60,-4,0.0036298649870467,0.0032746235946692,-0.0027883972585048,0.0100481272325984,1.1084831224437108,0.2676532241274241
log_num_voters_age_46_60,-2,0.0017454145332907,0.0030221960079105,-0.0041780896422139,0.0076689187087953,0.5775318770596376,0.5635802110888426
log_num_voters_age_46_60,0,-0.0639658573505029,0.0030591691527497,-0.0699618288898924,-0.0579698858111134,-20.909552285792227,4.383264952512626e-97
log_num_voters_age_46_60,2,-0.0372569907976915,0.002222269797044,-0.0416126395998978,-0.0329013419954853,-16.76528693646898,4.378951496301096e-63
log_num_voters_age_46_60,4,-0.0224820678465209,0.0112477457630887,-0.0445276495421749,-0.000436486150866864,-1.9988065448900223,0.0456292893803677
log_num_voters_age_46_60,6,0.0313816983644151,0.0060861254855301,0.0194528924127761,0.0433105043160542,5.156268703138927,2.5191932105956094e-07
log_num_voters_age_46_60,8,0.0483803623194843,0.0178739708835869,0.0133473793876538,0.0834133452513148,2.7067495317400496,0.0067945498405975
log_num_voters_age_60_plus,-8,-1.9004382286055916e-05,0.0016886433220125,-0.0033287452934305,0.0032907365288584,-0.0112542311560541,0.9910206122687392
