group,time,estimate,std.error,conf.low,conf.high,term,statistic,p.value
2008,2002,0.005440842640570186,0.00423583088913171,-0.0028612333467302386,0.01374291862787061,1,1.2844806091126757,0.19897384410400773
2008,2004,-0.002506128310752311,0.0020896116199978013,-0.006601691827624398,0.001589435206119776,2,-1.199327323206093,0.23040069479950023
2008,2006,0.0031838911016938433,0.0022828885544995013,-0.0012904882458438824,0.007658270449231569,3,1.394676536188547,0.16311340360422066
2008,2008,0.07700194305121731,0.006305035876564012,0.06464429981191892,0.0893595862905157,4,12.2127684217366,2.6569206401140096e-34
2008,2010,0.0702792067424771,0.0026420029584923103,0.0651009760967839,0.0754574373881703,5,26.60072976700327,6.657367685610764e-156
2008,2012,0.06291226648330035,0.004816787537535997,0.05347153638854843,0.07235299657805228,6,13.061042446452351,5.49698621647896e-39
2008,2014,0.062433231754033536,0.007440798285984187,0.04784953509727717,0.0770169284107899,7,8.390663118987582,4.8340769914289144e-17
2008,2016,0.04972212117154429,0.011962781555847879,0.026275500167162416,0.07316874217592616,8,4.156401330193826,3.2329970299350315e-5
2008,2018,0.03418872317961343,0.01636820354533966,0.0021076337391268823,0.06626981262009998,9,2.088727885434172,0.0367322251899109
2010,2002,-0.004397182644037039,9.762908653697675e-4,-0.006310677578597226,-0.0024836877094768527,10,-4.503967823535477,6.669630928874911e-6
2010,2004,-0.005311383873404405,0.0025269197094699675,-0.010264055495789957,-3.5871225101885215e-4,11,-2.1019203156710073,0.03556025660283431
2010,2006,-0.002002657250345781,0.001313911266970636,-0.0045778760124896185,5.725615117980567e-4,12,-1.5241952030467958,0.12745995597595117
2010,2008,-5.934656673147954e-4,0.0016051423139333272,-0.003739486792685401,0.00255255545805581,13,-0.3697277569491861,0.7115853479952146
2010,2010,0.11131579470480006,0.004250387960827241,0.10298518738125603,0.11964640202834409,14,26.189560983777813,3.494505421664083e-151
2010,2012,0.09715774406947045,0.004337833316617026,0.08865574699796315,0.10565974114097774,15,22.397758737590564,4.138822357189477e-111
2010,2014,0.09063479076846293,0.004415743951953319,0.08198009165768386,0.099289489879242,16,20.525372792136267,1.2777958692885082e-93
2010,2016,0.08026166196545184,0.004846952340427693,0.07076180994343144,0.08976151398747224,17,16.559201809351727,1.3740476585288508e-61
2010,2018,0.06292868335248927,0.005082561096509211,0.052967046654106814,0.07289032005087173,18,12.381294028262593,3.2997905936046616e-35
2012,2002,-0.006560553862467298,6.259336363731891e-4,-0.007787361246470939,-0.005333746478463658,19,-10.481229129146556,1.0536534342157588e-25
2012,2004,-0.009686908813108382,0.0011665294993278197,-0.011973264618694449,-0.007400553007522315,20,-8.304041019700055,1.0062887532912293e-16
2012,2006,-0.003981420631882302,5.098671713947042e-4,-0.004980741924715233,-0.0029820993390493713,21,-7.808740894204697,5.776210814913596e-15
2012,2008,-0.003537724241671547,9.440718108695836e-4,-0.00538807098979544,-0.0016873774935476538,22,-3.7473041784956513,1.78745279863099e-4
