slug,label,category,family,frequency,pretrend_label,post_mean_ref0,post_abs_mean_ref0,max_abs_pretrend_t,n_pre_p05,n_obs,n_munis,n_treated,n_never,sample_year_min,sample_year_max,post_min_ref0,post_max_ref0,post_sign_share,n_post_raw_p05,n_post_ref0_ci_excludes0_naive,post_n,figure_path,output_dir
ieps_sus_beds_per_100k,IEPS SUS beds,birth_health,ieps,annual,pass,-1.9401021259224875,1.9401021259224875,1.8803830680883504,0,44395,4037,2792,1244,2010,2020,-4.000452141133261,1.1625877023348998,0.75,1,0,8,resources/figures/downstream_bjs_ref0_nonhybrid/birth_health/annual/ieps_sus_beds_per_100k_bjs_ref0_nonhybrid.png,resources/did/downstream_bjs_ref0_nonhybrid/birth_health/annual/ieps/ieps_sus_beds_per_100k
inep_ind_municipal_taxa_aprovacao_ef_anos_finais,Municipal Taxa Aprovacao Ef Anos Finais,education,dropout_flow,annual,pass,1.911407056523892,1.911407056523892,1.2933530189369007,0,37729,4037,2281,864,2007,2019,0.0081923389793736,6.681342245391159,1.0,3,3,8,resources/figures/downstream_bjs_ref0_nonhybrid/education/annual/inep_ind_municipal_taxa_aprovacao_ef_anos_finais_bjs_ref0_nonhybrid.png,resources/did/downstream_bjs_ref0_nonhybrid/education/annual/dropout_flow/inep_ind_municipal_taxa_aprovacao_ef_anos_finais
inep_ind_municipal_taxa_abandono_ef_anos_finais,Municipal Taxa Abandono Ef Anos Finais,education,dropout_flow,annual,pass,-1.043052280669351,1.043052280669351,1.5709169586576035,0,37729,4037,2281,864,2007,2019,-3.67951005764324,0.0584557136552937,0.875,4,3,8,resources/figures/downstream_bjs_ref0_nonhybrid/education/annual/inep_ind_municipal_taxa_abandono_ef_anos_finais_bjs_ref0_nonhybrid.png,resources/did/downstream_bjs_ref0_nonhybrid/education/annual/dropout_flow/inep_ind_municipal_taxa_abandono_ef_anos_finais
inep_ind_municipal_ied_em_nivel_6,Municipal Ied Em Nivel 6,education,teacher_profile,annual,pass,-1.0081235364737835,1.0081235364737835,1.1732887371828515,0,667,4037,97,46,2013,2020,-2.1107854932198995,-0.2965488398386746,1.0,0,0,6,resources/figures/downstream_bjs_ref0_nonhybrid/education/annual/inep_ind_municipal_ied_em_nivel_6_bjs_ref0_nonhybrid.png,resources/did/downstream_bjs_ref0_nonhybrid/education/annual/teacher_profile/inep_ind_municipal_ied_em_nivel_6
inep_ind_municipal_taxa_reprovacao_ef_anos_finais,Municipal Taxa Reprovacao Ef Anos Finais,education,dropout_flow,annual,pass,-0.8683547765640295,0.8683547765640295,1.3024787684951062,0,37729,4037,2281,864,2007,2019,-3.00183218889496,0.0561083502217388,0.875,2,3,8,resources/figures/downstream_bjs_ref0_nonhybrid/education/annual/inep_ind_municipal_taxa_reprovacao_ef_anos_finais_bjs_ref0_nonhybrid.png,resources/did/downstream_bjs_ref0_nonhybrid/education/annual/dropout_flow/inep_ind_municipal_taxa_reprovacao_ef_anos_finais
inep_ind_municipal_taxa_reprovacao_ef,Municipal Taxa Reprovacao Ef,education,dropout_flow,annual,pass,-0.7360625125586598,0.7360625125586598,1.5546438403108471,0,52118,4037,2784,1242,2007,2019,-3.1507926030075923,-0.0131609378530065,1.0,3,4,8,resources/figures/downstream_bjs_ref0_nonhybrid/education/annual/inep_ind_municipal_taxa_reprovacao_ef_bjs_ref0_nonhybrid.png,resources/did/downstream_bjs_ref0_nonhybrid/education/annual/dropout_flow/inep_ind_municipal_taxa_reprovacao_ef
inep_ind_municipal_atu_ef_anos_finais,Municipal Atu Ef Anos Finais,education,school_inputs,annual,pass,-0.697528516538783,0.697528516538783,1.1842963231942312,0,41339,4037,2779,1238,2007,2020,-2.403113637327124,0.2863403394416176,0.625,6,4,8,resources/figures/downstream_bjs_ref0_nonhybrid/education/annual/inep_ind_municipal_atu_ef_anos_finais_bjs_ref0_nonhybrid.png,resources/did/downstream_bjs_ref0_nonhybrid/education/annual/school_inputs/inep_ind_municipal_atu_ef_anos_finais
inep_ind_municipal_taxa_reprovacao_em,Municipal Taxa Reprovacao Em,education,dropout_flow,annual,pass,-0.6248527389009857,0.6248527389009857,1.8026341325205395,0,1829,4037,335,115,2007,2019,-5.8167070194136725,2.250145395480775,0.25,2,2,8,resources/figures/downstream_bjs_ref0_nonhybrid/education/annual/inep_ind_municipal_taxa_reprovacao_em_bjs_ref0_nonhybrid.png,resources/did/downstream_bjs_ref0_nonhybrid/education/annual/dropout_flow/inep_ind_municipal_taxa_reprovacao_em
inep_ind_publica_ird_baixa_regularidade,Publica Ird Baixa Regularidade,education,teacher_profile,annual,pass,0.6034052140409595,0.6034052140409595,1.660412285043698,0,32288,4037,2792,1244,2013,2020,-0.1364247080262328,1.6314249286925226,0.8333333333333334,2,2,6,resources/figures/downstream_bjs_ref0_nonhybrid/education/annual/inep_ind_publica_ird_baixa_regularidade_bjs_ref0_nonhybrid.png,resources/did/downstream_bjs_ref0_nonhybrid/education/annual/teacher_profile/inep_ind_publica_ird_baixa_regularidade
inep_ind_municipal_ird_baixa_regularidade,Municipal Ird Baixa Regularidade,education,teacher_profile,annual,pass,0.5360895608024246,0.5360895608024246,1.829937892532768,0,32266,4037,2790,1244,2013,2020,-0.0557451959891321,1.3513266838731433,0.8333333333333334,0,0,6,resources/figures/downstream_bjs_ref0_nonhybrid/education/annual/inep_ind_municipal_ird_baixa_regularidade_bjs_ref0_nonhybrid.png,resources/did/downstream_bjs_ref0_nonhybrid/education/annual/teacher_profile/inep_ind_municipal_ird_baixa_regularidade
