metric,value,notes
n_rows,44568,Rows in the input analysis sample.
n_units,5571,Distinct units after validation.
n_periods,8,Distinct time periods after validation.
min_time,2004,Minimum observed time value.
max_time,2018,Maximum observed time value.
n_treated_units,2794,Units with non-missing first-treatment timing.
n_never_treated_units,2777,Units standardized as never treated.
group_id_standardized_from_zero_or_na,0,TRUE means the scripts converted 0 or NA into the internal never-treated representation.
