municipality_id,state,pct_votes_pt_2018_runoff,pct_votes_pt_2014_runoff,total_valid_votes_2018_runoff,exit_rate_2018,log_gdp_pc,exit_rate_2018_x_pct_votes_pt_2014_runoff
1100015,RO,0.3062586473508586,0.4470866141732283,12287,0.016678960751555075,9.977592441481772,0.007456940090340922
1100023,RO,0.1918721718232403,0.3996546976418909,46187,0.07695703662744852,10.05255953197776,0.03075624120475886
1100031,RO,0.3413284132841328,0.4651907952228372,3252,0.24337730899275242,10.159572773630869,0.11321688390953266
1100049,RO,0.2191171042060234,0.3492994850916058,46053,0.06119462809648295,10.15247652190767,0.021375252084473807
1100056,RO,0.1856185512179555,0.3093393587260598,9401,0.13653333466089831,10.261902953756028,0.042235134188732794
1100064,RO,0.2604288914968526,0.4548995489954899,9373,0.04909075097905723,9.920874195178254,0.022331360480223036
1100072,RO,0.3842305859933301,0.4896275341819896,4198,0.12595427256078612,10.653578742795144,0.061670679893623945
1100080,RO,0.4122853602407506,0.616580310880829,5649,0.030316539735862638,9.464207313181932,0.01869258149516919
1100098,RO,0.2681417479128962,0.3949694527492525,17129,0.016140154561392908,9.847550494633643,0.006374868014401709
1100106,RO,0.3128144738250722,0.4750114860380826,18682,0.04586312454081392,9.814214743082285,0.021785510942481674
1100114,RO,0.220614757312005,0.3665542460873849,25506,0.021928320782089176,10.260671195748554,0.008037919092241032
1100122,RO,0.2260822407247902,0.4266389177939646,62694,0.07436140382420699,10.207441983397445,0.03172546885319965
1100130,RO,0.3275130779018804,0.4876152254342509,14146,0.10022988778038595,9.706738557807782,0.048873619325282565
1100148,RO,0.293282876064333,0.4056166763173132,9513,0.023118035803674993,9.735132238168633,0.009377060845671296
1100155,RO,0.2541813261163734,0.4114188068553048,18475,0.02258530596292875,10.008775555933743,0.009292019631730148
1100189,RO,0.2216358839050131,0.385710219185881,19329,0.0695235415969697,10.342022225539836,0.0268159404679459
1100205,RO,0.3105787743991501,0.4853614207195568,240992,0.023108802736535424,10.375334775439294,0.011216121327332816
1100254,RO,0.2771263726037595,0.4695769576957695,10746,0.12577027699484014,9.979132473301458,0.05905882403979126
1100262,RO,0.271536523929471,0.4782608695652174,1985,0.2912419529914186,10.222854108912022,0.139289629691548
1100288,RO,0.2403218944980147,0.4532807790401112,28208,0.06017070671264527,10.069396036471572,0.027274224814101897
1100296,RO,0.3483457844183564,0.4990161353797717,4685,0.15285979919845755,9.979078087484151,0.07627950625094221
1100304,RO,0.1868809401918668,0.3694791748578019,44927,0.04234863672976937,10.237183397587117,0.01564693935526799
1100320,RO,0.3286675149972732,0.4464285714285714,11002,0.021467826906593507,10.333284635508369,0.009583851297586387
1100338,RO,0.2445533292501531,0.523106280594043,11429,0.13668685257062324,9.745977122305161,0.07150175105432502
1100346,RO,0.3733103631062814,0.5420560747663551,7546,0.02499639567302407,9.764370694808257,0.013549448121826131
1100379,RO,0.3718926085515412,0.4527363184079602,6034,0.14683293101399483,9.954345657360754,0.06647660060832601
1100403,RO,0.2836139733601407,0.507641043318396,7958,0.22301712812091298,9.658599337481109,0.11321264759717266
1100452,RO,0.2263063779058216,0.4315145461355975,15099,0.11142866850200174,9.768532335546755,0.048083091315135225
1100502,RO,0.3876044297649116,0.5586016559337627,5147,0.16543257339302006,9.850490746878995,0.09241090944272473
1100601,RO,0.260804208944006,0.446773120425815,2661,0.3814905268544501,10.030504435721268,0.17043971309565087
1100700,RO,0.3322808320950965,0.5213645761543763,5384,0.17948244757870585,9.921677170632744,0.09357579020902203
1100809,RO,0.3881663939367841,0.6123110151187905,11611,0.016868631218426702,9.994128206615107,0.010328848705019374
