term,estimate,std.error,conf.low,conf.high,event_time
0,-0.10680763914930112,0.002335900419321494,-0.11138600397117125,-0.102229274327431,0
2,-0.06256775994781685,0.0036061154291745826,-0.06963574618899904,-0.05549977370663467,2
4,-0.038505230318892775,0.00552029596009827,-0.04932501040068538,-0.027685450237100166,4
6,0.010990337813302931,0.007682038292726649,-0.0040664572404413,0.026047132867047164,6
8,0.0405472097031109,0.022848777107901123,-0.0042363934283753055,0.08533081283459709,8
