event_time,term,estimate,std.error,statistic,p.value,conf.low,conf.high
-8,fixest::.__event_time_plot__::-8:.__ever_treated__,-0.08091143794884259,0.00991493489180785,-8.16056170128713,5.404892158997201e-6,-0.10273406250898647,-0.059088813388698716
-6,fixest::.__event_time_plot__::-6:.__ever_treated__,-0.042596767855802575,0.00585332299468182,-7.277364993270474,1.5878524533115574e-5,-0.05547984490432041,-0.02971369080728474
-4,fixest::.__event_time_plot__::-4:.__ever_treated__,-0.02296864875269046,0.002680907795822626,-8.567489261838869,3.3848746770085664e-6,-0.028869287026870045,-0.017068010478510875
-2,(reference period),0,NA,NA,NA,NA,NA
0,fixest::.__event_time_plot__::0:.__ever_treated__,0.013485930232069973,0.004708663703300179,2.8640674046477432,0.015404146082037556,0.0031222312972441404,0.023849629166895807
2,fixest::.__event_time_plot__::2:.__ever_treated__,0.025279762396019867,0.005767648081894863,4.383027888850429,0.0010935930007040368,0.01258525455913827,0.037974270232901466
4,fixest::.__event_time_plot__::4:.__ever_treated__,0.030949621265151394,0.006718570471032999,4.606578348562414,7.567580587309922e-4,0.016162147361377874,0.045737095168924914
6,fixest::.__event_time_plot__::6:.__ever_treated__,0.04748572590757131,0.007987664530739126,5.944882352636471,9.663417412701891e-5,0.029904994811624147,0.06506645700351847
8,fixest::.__event_time_plot__::8:.__ever_treated__,0.04792868453236169,0.019913988827250484,2.406784745544079,0.03481203417562817,0.0040982906453526785,0.0917590784193707
