group,time,estimate,std.error,conf.low,conf.high
2008,2002,0.038808613776754916,0.06526441413625647,-0.08910963793030775,0.1667268654838176
2008,2004,0.07009528725941683,0.15511429066650523,-0.2339287224469334,0.37411929696576707
2008,2006,-0.11476255744891797,0.09437458957371558,-0.2997367530134005,0.07021163811556458
2008,2008,0.014856899394622588,0.10494975955569079,-0.19084462933453136,0.22055842812377655
2008,2010,0.03248223515409864,0.09188065787023193,-0.14760385427155592,0.21256832457975322
2008,2012,0.22862829687911512,0.09692695844609801,0.03865145832476302,0.4186051354334672
2008,2014,0.44663775215693197,0.20024698392797669,0.05415366365809765,0.8391218406557663
2008,2016,0.44663775215693197,0.20024698392797669,0.05415366365809765,0.8391218406557663
2008,2018,0.44663775215693197,0.20024698392797669,0.05415366365809765,0.8391218406557663
2008,2020,0.44663775215693197,0.20024698392797669,0.05415366365809765,0.8391218406557663
2008,2022,0.44663775215693197,0.20024698392797669,0.05415366365809765,0.8391218406557663
2010,2002,0.0880481068637832,0.13146262957547958,-0.16961864710415678,0.3457148608317232
2010,2004,0.16503217241912374,0.034898866428598754,0.09663039421907019,0.2334339506191773
2010,2006,0.10261774549326072,0.1781748377638916,-0.24660493652396678,0.45184042751048825
2010,2008,-0.09615306563351142,0.17916776715120172,-0.4473218892498668,0.2550157579828439
2010,2010,0.11370683276152406,0.17503399753687765,-0.22935980241075615,0.45677346793380424
2010,2012,0.17274239100416158,0.17658020852111853,-0.17335481769723074,0.5188395997055539
2010,2014,0.0060523021207631676,0.1464773074309553,-0.28104322044390917,0.29314782468543554
2010,2016,0.0060523021207631676,0.1464773074309553,-0.28104322044390917,0.29314782468543554
2010,2018,0.0060523021207631676,0.1464773074309553,-0.28104322044390917,0.29314782468543554
2010,2020,0.0060523021207631676,0.1464773074309553,-0.28104322044390917,0.29314782468543554
2010,2022,0.0060523021207631676,0.1464773074309553,-0.28104322044390917,0.29314782468543554
2012,2002,0.08550392789935254,0.08711888854561015,-0.08524909365004335,0.25625694944874844
2012,2004,0.2530034128663233,0.0353687578109659,0.1836806475568301,0.32232617817581644
2012,2006,-0.10120070037223045,0.044626034960723836,-0.18866772889524916,-0.013733671849211732
2012,2008,0.012584098506463673,0.038261438825982166,-0.06240832159246137,0.08757651860538872
2012,2010,-0.02251098742784145,0.03640397454594174,-0.09386277753788727,0.048840802682204365
2012,2012,-0.04837909744642208,0.08215844029473557,-0.2094096404241038,0.11265144553125964
2012,2014,0.03170614203391292,0.07674811946444404,-0.1187201721163974,0.18213245618422325
2012,2016,0.03170614203391292,0.07674811946444404,-0.1187201721163974,0.18213245618422325
2012,2018,0.03170614203391292,0.07674811946444404,-0.1187201721163974,0.18213245618422325
2012,2020,0.03170614203391292,0.07674811946444404,-0.1187201721163974,0.18213245618422325
2012,2022,0.03170614203391292,0.07674811946444404,-0.1187201721163974,0.18213245618422325
2014,2002,0.3602164914661208,0.08443430035524338,0.19472526276984375,0.5257077201623979
2014,2004,-0.022629208245962148,0.05795956672776551,-0.13622995903238255,0.09097154254045825
2014,2006,0.08711445994073969,0.06159122644282764,-0.03360434388720249,0.20783326376868186
2014,2008,-0.015792413515063,0.028060847601431908,-0.07079167481386954,0.03920684778374353
2014,2010,-0.11600213154539953,0.031428704263858666,-0.1776023919025625,-0.05440187118823654
2014,2012,-0.038249725971981195,0.04553184379899599,-0.12749213981801333,0.050992687874050945
2014,2014,0.009608346578966307,0.06319668143657108,-0.114257149036713,0.13347384219464561
2014,2016,0.009608346578966307,0.06319668143657108,-0.114257149036713,0.13347384219464561
2014,2018,0.009608346578966307,0.06319668143657108,-0.114257149036713,0.13347384219464561
2014,2020,0.009608346578966307,0.06319668143657108,-0.114257149036713,0.13347384219464561
2014,2022,0.009608346578966307,0.06319668143657108,-0.114257149036713,0.13347384219464561
2016,2002,0.07913373783542256,0.04626435362469805,-0.011544395268985624,0.16981187093983074
2016,2004,0.007681686237808061,0.04057981471132588,-0.07185475059639067,0.08721812307200678
2016,2006,0.01733991258905649,0.04332478449854204,-0.0675766650280859,0.1022564902061989
2016,2008,-0.003932261723641006,0.021275339306246217,-0.04563192676388359,0.037767403316601576
2016,2010,-0.02530325813917259,0.021438760666470054,-0.06732322904545389,0.016716712767108715
2016,2012,-0.04140328299174227,0.042787689328754985,-0.12526715407610206,0.042460588092617504
2016,2014,0.04000075632583209,0.050972870008033605,-0.05990606888991378,0.13990758154157795
2016,2016,0,NA,NA,NA
2016,2018,0,NA,NA,NA
2016,2020,0,NA,NA,NA
2016,2022,0,NA,NA,NA
2018,2002,0.10715363640792276,0.036145816007050004,0.036307837034104756,0.17799943578174077
2018,2004,0.06774772077875658,0.0307622206952732,0.00745376821602111,0.12804167334149205
2018,2006,-0.018191841194878367,0.03426087897763555,-0.08534316399104404,0.04895948160128731
2018,2008,-0.009954154020339018,0.015402911760305778,-0.04014386107053834,0.020235553029860305
2018,2010,-0.03408334125852742,0.022583230241904177,-0.07834647253265961,0.010179790015604769
2018,2012,0.02670994333254249,0.034575212502960334,-0.041057473173259765,0.09447735983834475
2018,2014,0.05227074560761232,0.0423234786083985,-0.030683272464848747,0.13522476368007338
2018,2016,0,NA,NA,NA
2018,2018,0,NA,NA,NA
2018,2020,0,NA,NA,NA
2018,2022,0,NA,NA,NA
