event_time,term,estimate,std.error,statistic,p.value,conf.low,conf.high
-8,fixest::.__event_time_plot__::-8:.__ever_treated__,-0.35123337347327555,0.08149238454970943,-4.31001467700368,0.001235104995448194,-0.5305969025276671,-0.17186984441888395
-6,fixest::.__event_time_plot__::-6:.__ever_treated__,-0.16037317596678258,0.03440644256653392,-4.661137973118226,6.924346073415245e-4,-0.23610124546726902,-0.08464510646629614
-4,fixest::.__event_time_plot__::-4:.__ever_treated__,0.0058924578748063144,0.07657485078937462,0.07695030175134132,0.9400448857564587,-0.16264765234883877,0.17443256809845137
-2,(reference period),0,NA,NA,NA,NA,NA
0,fixest::.__event_time_plot__::0:.__ever_treated__,0.047026336533764715,0.02564427893669375,1.8337944556700294,0.0938570078653851,-0.009416340847148819,0.10346901391467825
2,fixest::.__event_time_plot__::2:.__ever_treated__,0.08339390831160721,0.03311863527768674,2.518035770869846,0.028575176976547288,0.010500283542931269,0.15628753308028315
4,fixest::.__event_time_plot__::4:.__ever_treated__,0.11718960743806922,0.04934758665837179,2.3747788974840995,0.0368394842244862,0.008576301516656754,0.2258029133594817
6,fixest::.__event_time_plot__::6:.__ever_treated__,0.20479341180929905,0.06732214595285745,3.0419917385388504,0.011206654543006503,0.056618367621536436,0.35296845599706167
8,fixest::.__event_time_plot__::8:.__ever_treated__,0.3179743701485531,0.10137268885295211,3.136686752087599,0.009464142735423576,0.09485458634461844,0.5410941539524878
