term,estimate,std.error,statistic,p.value,conf.low,conf.high
fixest::.__event_time_plot__::-8:.__ever_treated__,-0.040400743950497156,0.013605039254167867,-2.9695426228278246,0.015714090871337228,-0.07117748094946375,-0.00962400695153057
fixest::.__event_time_plot__::-6:.__ever_treated__,-0.01995658807308016,0.01237485284140058,-1.6126727589288636,0.1412741966988771,-0.0479504500668282,0.00803727392066788
fixest::.__event_time_plot__::-4:.__ever_treated__,-0.009594715739975031,0.00799848333929015,-1.1995668844921972,0.2609332720842654,-0.027688542117472348,0.008499110637522287
fixest::.__event_time_plot__::0:.__ever_treated__,0.15539464145367163,0.018531912307785618,8.385245886814785,1.5172369869741225e-5,0.11347254328626619,0.19731673962107707
fixest::.__event_time_plot__::2:.__ever_treated__,0.17304392201709914,0.03263326439672167,5.302685012244226,4.921075821330036e-4,0.09922234921656757,0.2468654948176307
fixest::.__event_time_plot__::4:.__ever_treated__,0.15507326821517406,0.06288987437355964,2.4657907136855477,0.035816763317653245,0.012806488433546842,0.29734004799680125
fixest::.__event_time_plot__::6:.__ever_treated__,0.24565391878552506,0.032337662568954664,7.5965267514839425,3.338694056419298e-5,0.17250104377701286,0.31880679379403726
fixest::.__event_time_plot__::8:.__ever_treated__,0.1617477333383725,0.01958807989687881,8.25745730004632,1.7170798720697817e-5,0.11743641809418459,0.2060590485825604
